tickerId,companyName,remarks,boardMeetDate,purpose
S0003049,Cipla,,2025-05-13,Audited Results & Final Dividend
S0003049,Cipla,,2025-01-28,Quarterly Results
S0003049,Cipla,,2024-10-29,Quarterly Results
S0003049,Cipla,,2024-07-26,Quarterly Results
S0003049,Cipla,,2024-05-10,Audited Results & Final Dividend
S0003049,Cipla,,2024-01-25,Quarterly Results
S0003049,Cipla,(Revised),2024-01-22,Quarterly Results
S0003049,Cipla,,2023-10-27,Quarterly Results
S0003049,Cipla,,2023-07-26,Quarterly Results
S0003049,Cipla,,2023-05-12,Audited Results & Final Dividend
S0003049,Cipla,,2023-01-25,Quarterly Results
S0003049,Cipla,,2022-11-04,Quarterly Results
S0003049,Cipla,,2022-07-29,Quarterly Results
S0003049,Cipla,,2022-05-10,Audited Results & Dividend
S0003049,Cipla,,2022-01-25,Quarterly Results
S0003049,Cipla,,2021-10-26,Quarterly Results
S0003049,Cipla,,2021-08-05,Quarterly Results
S0003049,Cipla,,2021-05-14,Audited Results & Dividend
S0003049,Cipla,,2021-01-29,Quarterly Results
