displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,543.90,,,2023,Annual
Cash Equivalents ,CashEquivalents,83.73,,,2023,Annual
Short Term Investments ,ShortTermInvestments,5635.43,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,6263.06,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4100.36,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,5029.43,,,2023,Annual
Total Inventory ,TotalInventory,5367.89,,,2023,Annual
Prepaid Expenses ,PrepaidExpenses,112.91,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,501.66,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,17274.95,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,9575.48,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-4584.70,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,5679.95,,,2023,Annual
Goodwill Net ,GoodwillNet,2983.86,,,2023,Annual
Intangibles Net ,IntangiblesNet,1530.14,,,2023,Annual
Long Term Investments ,LongTermInvestments,633.37,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,819.33,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,541.68,,,2023,Annual
Total Assets ,TotalAssets,29463.28,,,2023,Annual
Accounts Payable ,AccountsPayable,2457.05,,,2023,Annual
Accrued Expenses ,AccruedExpenses,477.56,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,176.12,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,418.18,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1580.76,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,5109.67,,,2023,Annual
Long Term Debt ,LongTermDebt,0.00,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,208.82,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,208.82,,,2023,Annual
Total Debt ,TotalDebt,803.12,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,163.28,,,2023,Annual
Minority Interest ,MinorityInterest,305.76,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,267.97,,,2023,Annual
Total Liabilities ,TotalLiabilities,6055.50,,,2023,Annual
Common Stock Total ,CommonStockTotal,161.43,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,1652.77,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),21096.73,,,2023,Annual
Other Equity Total ,OtherEquityTotal,496.85,,,2023,Annual
Total Equity ,TotalEquity,23407.78,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,29463.28,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,80.72,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,234.08,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
