displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,3290.06,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1067.66,,,2021,Annual
Non- Cash Items ,Non-CashItems,63.25,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-665.77,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,3755.20,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-818.92,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-1568.26,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-2387.18,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-126.10,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,0.00,,,2021,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-35.95,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-1167.85,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-1329.90,,,2021,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,12.79,,,2021,Annual
Net Changein Cash ,NetChangeinCash,50.91,,,2021,Annual
Cash Interest Paid ,CashInterestPaid,120.74,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,1037.43,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
