displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,17131.99,,,2020,Annual
Total Revenue ,TotalRevenue,17131.99,,,2020,Annual
Costof Revenue Total ,CostofRevenueTotal,6936.81,,,2020,Annual
Gross Profit ,GrossProfit,10195.18,,,2020,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,6203.89,,,2020,Annual
Research Development ,ResearchDevelopment,354.52,,,2020,Annual
Depreciation/ Amortization ,Depreciation/Amortization,1097.31,,,2020,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,2.64,,,2020,Annual
Unusual Expense( Income) ,UnusualExpense(Income),74.70,,,2020,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,421.32,,,2020,Annual
Total Operating Expense ,TotalOperatingExpense,15091.19,,,2020,Annual
Operating Income ,OperatingIncome,2040.80,,,2020,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,97.82,,,2020,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,2.62,,,2020,Annual
Other Net ,OtherNet,36.94,,,2020,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,2178.18,,,2020,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,631.20,,,2020,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,1546.98,,,2020,Annual
Minority Interest ,MinorityInterest,47.00,,,2020,Annual
Equity In Affiliates ,EquityInAffiliates,-47.46,,,2020,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,1546.52,,,2020,Annual
Net Income ,NetIncome,1546.52,,,2020,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,1546.52,,,2020,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,1546.52,,,2020,Annual
Diluted Net Income ,DilutedNetIncome,1546.52,,,2020,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,80.71,,,2020,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,19.16,,,2020,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,3.00,,,2020,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,19.80,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
