displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,6693.94,,,2025,Interim
Total Revenue ,TotalRevenue,6693.94,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,2192.88,,,2025,Interim
Gross Profit ,GrossProfit,4501.06,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,1194.23,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,246.68,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1591.03,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,5224.82,,,2025,Interim
Operating Income ,OperatingIncome,1469.12,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-17.95,,,2025,Interim
Other Net ,OtherNet,160.19,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,1611.36,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,435.07,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,1176.29,,,2025,Interim
Minority Interest ,MinorityInterest,2.18,,,2025,Interim
Equity In Affiliates ,EquityInAffiliates,-0.83,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,1177.64,,,2025,Interim
Net Income ,NetIncome,1177.64,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,1177.64,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,1177.64,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,1177.64,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,80.83,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,14.57,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,14.57,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
