displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,97.10
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,24069.50
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,0.01
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,24069.50
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),0.01
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,3.22
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,3.22
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,19.91
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,4.25
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,28.90
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,0.01
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,0.01
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,97.10
Current ratio - most recent quarter,currentRatioMostRecentQuarter,4.25
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,19.91
