displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,27.83
"Revenue growth rate, 5 year",revenueGrowthRate5Year,9.97
"EPS growth rate, 5 year",ePSGrowthRate5Year,27.77
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,9.19
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,37.51
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,27.92
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),9.94
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,9.86
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,19.12
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,17.33
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,9.14
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,6.88
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,8.17
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,14.59
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),29.97
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,16.29
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,17.26
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-32.34
