Date,Price on NSE
2024-06-06,1477.0
2024-06-07,1497.25
2024-06-10,1534.25
2024-06-11,1530.25
2024-06-12,1540.95
2024-06-13,1544.55
2024-06-14,1564.75
2024-06-18,1574.8
2024-06-19,1559.8
2024-06-20,1544.85
2024-06-21,1541.55
2024-06-24,1504.4
2024-06-25,1499.7
2024-06-26,1479.1
2024-06-27,1480.9
2024-06-28,1480.8
2024-07-01,1479.1
2024-07-02,1488.65
2024-07-03,1483.75
2024-07-04,1480.75
2024-07-05,1509.9
2024-07-08,1487.05
2024-07-09,1512.05
2024-07-10,1513.2
2024-07-11,1506.0
2024-07-12,1512.05
2024-07-15,1517.2
2024-07-16,1510.4
2024-07-18,1506.65
2024-07-19,1485.5
2024-07-22,1490.0
2024-07-23,1497.9
2024-07-24,1503.5
2024-07-25,1500.05
2024-07-26,1575.0
2024-07-29,1553.95
2024-07-30,1528.9
2024-07-31,1544.3
2024-08-01,1546.2
2024-08-02,1528.8
2024-08-05,1515.05
2024-08-06,1531.9
2024-08-07,1553.55
2024-08-08,1569.95
2024-08-09,1574.75
2024-08-12,1586.25
2024-08-13,1583.45
2024-08-14,1563.8
2024-08-16,1576.1
2024-08-19,1575.5
2024-08-20,1562.85
2024-08-21,1594.6
2024-08-22,1585.8
2024-08-23,1574.55
2024-08-26,1593.95
2024-08-27,1598.05
2024-08-28,1618.2
2024-08-29,1618.55
2024-08-30,1654.9
2024-09-02,1646.65
2024-09-03,1653.2
2024-09-04,1651.9
2024-09-05,1627.75
2024-09-06,1611.05
2024-09-09,1620.15
2024-09-10,1632.0
2024-09-11,1628.35
2024-09-12,1657.25
2024-09-13,1659.7
2024-09-16,1659.4
2024-09-17,1671.8
2024-09-18,1651.6
2024-09-19,1637.7
2024-09-20,1638.65
2024-09-23,1658.15
2024-09-24,1637.55
2024-09-25,1643.2
2024-09-26,1621.8
2024-09-27,1672.5
2024-09-30,1654.1
2024-10-01,1664.85
2024-10-03,1656.55
2024-10-04,1623.3
2024-10-07,1624.65
2024-10-08,1640.7
2024-10-09,1680.5
2024-10-10,1618.9
2024-10-11,1595.75
2024-10-14,1598.45
2024-10-15,1571.75
2024-10-16,1562.2
2024-10-17,1558.7
2024-10-18,1551.7
2024-10-21,1523.75
2024-10-22,1510.35
2024-10-23,1485.6
2024-10-24,1492.3
2024-10-25,1488.9
2024-10-28,1503.15
2024-10-29,1477.55
2024-10-30,1418.25
2024-10-31,1551.75
2024-11-01,1559.55
2024-11-04,1584.6
2024-11-05,1601.2
2024-11-06,1594.05
2024-11-07,1576.15
2024-11-08,1592.6
2024-11-11,1552.8
2024-11-12,1525.15
2024-11-13,1505.6
2024-11-14,1499.75
2024-11-18,1465.25
2024-11-19,1471.55
2024-11-21,1465.5
2024-11-22,1486.5
2024-11-25,1503.3
2024-11-26,1492.7
2024-11-27,1491.15
2024-11-28,1492.75
2024-11-29,1533.9
2024-12-02,1507.7
2024-12-03,1533.9
2024-12-04,1500.85
2024-12-05,1498.25
2024-12-06,1477.4
2024-12-09,1469.0
2024-12-10,1455.2
2024-12-11,1454.1
2024-12-12,1445.4
2024-12-13,1447.3
2024-12-16,1448.45
2024-12-17,1450.85
2024-12-18,1472.4
2024-12-19,1506.55
2024-12-20,1472.05
2024-12-23,1476.05
2024-12-24,1475.75
2024-12-26,1490.55
2024-12-27,1506.6
2024-12-30,1521.4
2024-12-31,1529.0
2025-01-01,1529.1
2025-01-02,1537.9
2025-01-03,1511.25
2025-01-06,1491.4
2025-01-07,1497.45
2025-01-08,1494.9
2025-01-09,1488.2
2025-01-10,1468.8
2025-01-13,1439.2
2025-01-14,1447.75
2025-01-15,1447.2
2025-01-16,1443.5
2025-01-17,1442.3
2025-01-20,1445.45
2025-01-21,1428.0
2025-01-22,1439.4
2025-01-23,1451.15
2025-01-24,1411.4
2025-01-27,1396.1
2025-01-28,1420.6
2025-01-29,1423.95
2025-01-30,1457.45
2025-01-31,1479.4
2025-02-01,1439.5
2025-02-03,1420.55
2025-02-04,1449.05
2025-02-05,1436.8
2025-02-06,1471.5
2025-02-07,1472.25
2025-02-10,1458.85
2025-02-11,1453.15
2025-02-12,1449.2
2025-02-13,1472.15
2025-02-14,1459.45
2025-02-17,1474.65
2025-02-18,1482.1
2025-02-19,1464.15
2025-02-20,1479.7
2025-02-21,1475.75
2025-02-24,1476.75
2025-02-25,1463.35
2025-02-27,1441.15
2025-02-28,1407.5
2025-03-03,1407.55
2025-03-04,1401.8
2025-03-05,1419.75
2025-03-06,1461.75
2025-03-07,1458.45
2025-03-10,1462.75
2025-03-11,1445.75
2025-03-12,1454.3
2025-03-13,1461.9
