displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,923.14,,,2020,Annual
Cash Equivalents ,CashEquivalents,1873.28,,,2020,Annual
Short Term Investments ,ShortTermInvestments,25740.88,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,28537.30,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,15583.53,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,47655.74,,,2020,Annual
Total Inventory ,TotalInventory,6617.98,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,876.53,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,83687.55,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,51295.18,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-14549.71,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,45016.56,,,2020,Annual
Intangibles Net ,IntangiblesNet,95.30,,,2020,Annual
Long Term Investments ,LongTermInvestments,2028.83,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,10098.97,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,9400.27,,,2020,Annual
Total Assets ,TotalAssets,150327.48,,,2020,Annual
Accounts Payable ,AccountsPayable,7250.96,,,2020,Annual
Accrued Expenses ,AccruedExpenses,3079.11,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,4432.61,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,7.78,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,34297.83,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,49068.29,,,2020,Annual
Long Term Debt ,LongTermDebt,1993.38,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,1993.38,,,2020,Annual
Total Debt ,TotalDebt,6433.77,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,307.04,,,2020,Annual
Minority Interest ,MinorityInterest,394.08,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,66407.77,,,2020,Annual
Total Liabilities ,TotalLiabilities,118170.56,,,2020,Annual
Common Stock Total ,CommonStockTotal,6162.73,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),26292.60,,,2020,Annual
Other Equity Total ,OtherEquityTotal,-298.41,,,2020,Annual
Total Equity ,TotalEquity,32156.92,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,150327.48,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,616.27,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,52.03,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
