displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,30235.17,,,2024,Interim
Short Term Investments ,ShortTermInvestments,5949.61,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,36184.78,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,13255.75,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,22341.47,,,2024,Interim
Total Inventory ,TotalInventory,10177.23,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,35179.88,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,103883.36,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,87688.65,,,2024,Interim
Intangibles Net ,IntangiblesNet,6939.85,,,2024,Interim
Long Term Investments ,LongTermInvestments,21870.00,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,429.85,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,16860.55,,,2024,Interim
Total Assets ,TotalAssets,237672.26,,,2024,Interim
Accounts Payable ,AccountsPayable,8385.65,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,749.54,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,52137.35,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,61272.54,,,2024,Interim
Long Term Debt ,LongTermDebt,5617.20,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,156.29,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,5773.49,,,2024,Interim
Total Debt ,TotalDebt,6523.03,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,1822.16,,,2024,Interim
Minority Interest ,MinorityInterest,852.12,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,85222.17,,,2024,Interim
Total Liabilities ,TotalLiabilities,154942.48,,,2024,Interim
Common Stock Total ,CommonStockTotal,6162.73,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),76567.05,,,2024,Interim
Total Equity ,TotalEquity,82729.78,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,237672.26,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,616.27,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,122.98,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
