displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,43274.60,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,6832.94,,,2023,Annual
Non- Cash Items ,Non-CashItems,-7275.79,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-7097.78,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,35733.97,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-15318.11,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-8147.38,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-23465.49,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-138.22,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-14328.07,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,761.94,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-13704.35,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-1435.87,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,138.22,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,9749.72,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
