displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,109715.42,,,2022,Annual
Total Revenue ,TotalRevenue,109715.42,,,2022,Annual
Costof Revenue Total ,CostofRevenueTotal,71808.98,,,2022,Annual
Gross Profit ,GrossProfit,37906.44,,,2022,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,7215.67,,,2022,Annual
Research Development ,ResearchDevelopment,31.82,,,2022,Annual
Depreciation/ Amortization ,Depreciation/Amortization,4276.11,,,2022,Annual
Unusual Expense( Income) ,UnusualExpense(Income),152.56,,,2022,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,4758.95,,,2022,Annual
Total Operating Expense ,TotalOperatingExpense,88244.09,,,2022,Annual
Operating Income ,OperatingIncome,21471.33,,,2022,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,1855.29,,,2022,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-15.48,,,2022,Annual
Other Net ,OtherNet,305.14,,,2022,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,23616.28,,,2022,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,6237.86,,,2022,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,17378.42,,,2022,Annual
Minority Interest ,MinorityInterest,-20.32,,,2022,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,17358.10,,,2022,Annual
Net Income ,NetIncome,17358.10,,,2022,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,17358.10,,,2022,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,17358.10,,,2022,Annual
Diluted Net Income ,DilutedNetIncome,17358.10,,,2022,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,616.27,,,2022,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,28.17,,,2022,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,17.00,,,2022,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,28.37,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
