displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,89.98
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,-3318.30
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,0.09
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,-3318.30
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),0.08
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,1.29
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,1.29
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,36.43
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,1.49
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,14.31
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,0.08
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,0.09
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,89.98
Current ratio - most recent quarter,currentRatioMostRecentQuarter,1.49
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,46.19
