displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,26.94
Gross Margin - 5 year average,grossMargin5YearAverage,37.02
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),26.45
Operating Margin - 5 year average,operatingMargin5YearAverage,25.21
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,24.62
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,39.31
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,25.08
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,21.56
Pretax Margin - 5 year average,pretaxMargin5YearAverage,28.97
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,-0.24
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,32.76
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,33.37
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,0.36
Gross Margin - trailing 12 month,grossMarginTrailing12Month,38.18
