displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,46.59
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,19.07
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,14.18
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,10.54
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,19.07
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,14.18
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,7.63
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),7.63
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,13.18
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,38.89
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,10.83
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.58
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.57
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),38.89
Return on investment - 5 year average,returnOnInvestment5YearAverage,18.64
