displayName,key,value
"P/E excluding extraordinary items, most recent fiscal year",pPerEExcludingExtraordinaryItemsMostRecentFiscalYear,6.88
"Current Dividend Yield - Common Stock Primary Issue, LTM",currentDividendYieldCommonStockPrimaryIssueLTM,6.71
Price to Book - most recent fiscal year,priceToBookMostRecentFiscalYear,2.46
Price to Free Cash Flow per Share - trailing 12 months,priceToFreeCashFlowPerShareTrailing12Months,
P/E Basic excluding extraordinary items - TTM,pPerEBasicExcludingExtraordinaryItemsTTM,6.94
P/E including extraordinary items - TTM,pPerEIncludingExtraordinaryItemsTTM,6.88
"P/E excluding extraordinary items low, trailing 12 months",pPerEExcludingExtraordinaryItemsLowTrailing12Months,4.15
Price to Tangible Book - most fiscal year,priceToTangibleBookMostFiscalYear,2.70
Dividend Yield - 5 Year Average,dividendYield5YearAverage,8.04
Price to sales - most recent fiscal year,priceToSalesMostRecentFiscalYear,1.70
"Net Debt, LFI",netDebtLFI,-307206.10
Price to Tangible Book - most recent quarter,priceToTangibleBookMostRecentQuarter,2.70
Price to Book - most recent quarter,priceToBookMostRecentQuarter,2.46
Dividend Yield - indicated annual dividend divided by closing price,dividendYieldIndicatedAnnualDividendDividedByClosingprice,6.36
Price to Cash Flow per share - trailing 12 month,priceToCashFlowPerShareTrailing12Month,5.48
Peg Ratio,pegRatio,0.26
is ForCasted,isForCasted,true
Price to Free Cash Flow per Share - most recent fiscal year,priceToFreeCashFlowPerShareMostRecentFiscalYear,
"P/E Normalized, most recent fiscal year",pPerENormalizedMostRecentFiscalYear,6.88
"P/E excluding extraordinary items high, trailing 12 months",pPerExcludingExtraordinaryItemsHighTrailing12Months,8.28
"P/E excluding extraordinary items, most recent fiscal year quarter",pPerEExcludingExtraordinaryItemsMostRecentFiscalYearQuarter,6.88
Price to sales - trailing 12 month,priceToSalesTrailing12Month,1.73
"Net Debt, LFY",netDebtLFY,-307206.10
