tickerId,companyName,remarks,boardMeetDate,purpose
S0003058,Dr Reddys Laboratories,To consider other business matters.,2025-05-09,"Audited Results, Dividend & Others"
S0003058,Dr Reddys Laboratories,,2025-01-23,Quarterly Results
S0003058,Dr Reddys Laboratories,,2024-11-05,Quarterly Results
S0003058,Dr Reddys Laboratories,,2024-07-27,Quarterly Results & Stock Split
S0003058,Dr Reddys Laboratories,,2024-05-07,Audited Results & Final Dividend
S0003058,Dr Reddys Laboratories,,2024-01-30,Quarterly Results
S0003058,Dr Reddys Laboratories,,2023-10-27,Quarterly Results
S0003058,Dr Reddys Laboratories,,2023-07-26,Quarterly Results
S0003058,Dr Reddys Laboratories,,2023-05-10,Audited Results & Final Dividend
S0003058,Dr Reddys Laboratories,,2023-01-25,Quarterly Results
S0003058,Dr Reddys Laboratories,,2022-10-28,Quarterly Results
S0003058,Dr Reddys Laboratories,,2022-07-28,Quarterly Results
S0003058,Dr Reddys Laboratories,,2022-05-19,Audited Results & Final Dividend
S0003058,Dr Reddys Laboratories,,2022-01-28,Quarterly Results
S0003058,Dr Reddys Laboratories,,2021-10-29,Quarterly Results
S0003058,Dr Reddys Laboratories,,2021-07-27,Quarterly Results
S0003058,Dr Reddys Laboratories,,2021-05-14,Audited Results & Final Dividend
S0003058,Dr Reddys Laboratories,,2021-01-29,Quarterly Results
