displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,187.00,,,2020,Annual
Cash Equivalents ,CashEquivalents,5.90,,,2020,Annual
Short Term Investments ,ShortTermInvestments,2368.70,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,2561.60,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,5027.80,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,6087.50,,,2020,Annual
Total Inventory ,TotalInventory,3506.70,,,2020,Annual
Prepaid Expenses ,PrepaidExpenses,95.00,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,348.30,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,12599.10,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,11063.90,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-6286,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,5214.30,,,2020,Annual
Goodwill Net ,GoodwillNet,491.30,,,2020,Annual
Intangibles Net ,IntangiblesNet,2679.80,,,2020,Annual
Long Term Investments ,LongTermInvestments,327.10,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,627.40,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1286.30,,,2020,Annual
Total Assets ,TotalAssets,23225.30,,,2020,Annual
Accounts Payable ,AccountsPayable,1524.80,,,2020,Annual
Accrued Expenses ,AccruedExpenses,2143.90,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,1653.20,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,426.60,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1465.60,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,7214.10,,,2020,Annual
Long Term Debt ,LongTermDebt,0.00,,,2020,Annual
Capital Lease Obligations ,CapitalLeaseObligations,130.40,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,130.40,,,2020,Annual
Total Debt ,TotalDebt,2210.20,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,2.00,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,280.00,,,2020,Annual
Total Liabilities ,TotalLiabilities,7626.50,,,2020,Annual
Common Stock Total ,CommonStockTotal,83.10,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,591.60,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),15014.70,,,2020,Annual
Treasury Stock- Common ,TreasuryStock-Common,-100.60,,,2020,Annual
Other Equity Total ,OtherEquityTotal,10.00,,,2020,Annual
Total Equity ,TotalEquity,15598.80,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,23225.30,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,82.89,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,149.93,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
