displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,2883.50,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1228.80,,,2021,Annual
Non- Cash Items ,Non-CashItems,858.40,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-1400.40,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,3570.30,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-1256.10,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-1009.90,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-2266,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-132.10,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-414.70,,,2021,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-92.40,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,609.40,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-29.80,,,2021,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,11.30,,,2021,Annual
Net Changein Cash ,NetChangeinCash,1285.80,,,2021,Annual
Cash Interest Paid ,CashInterestPaid,132.10,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,571.60,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
