displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,107.21,,,2024,Annual
Short Term Investments ,ShortTermInvestments,1351.23,,,2024,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,1458.44,,,2024,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,445.96,,,2024,Annual
Total Receivables Net ,TotalReceivablesNet,1052.66,,,2024,Annual
Total Inventory ,TotalInventory,1559.31,,,2024,Annual
Prepaid Expenses ,PrepaidExpenses,41.82,,,2024,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,39.10,,,2024,Annual
Total Current Assets ,TotalCurrentAssets,4151.33,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,4509.89,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-2287.64,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2433.90,,,2024,Annual
Intangibles Net ,IntangiblesNet,1035.58,,,2024,Annual
Long Term Investments ,LongTermInvestments,13346.04,,,2024,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2055.42,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,105.66,,,2024,Annual
Total Assets ,TotalAssets,23127.93,,,2024,Annual
Accounts Payable ,AccountsPayable,2090.13,,,2024,Annual
Accrued Expenses ,AccruedExpenses,196.66,,,2024,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,112.12,,,2024,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,35.88,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1163.62,,,2024,Annual
Total Current Liabilities ,TotalCurrentLiabilities,3598.41,,,2024,Annual
Long Term Debt ,LongTermDebt,163.46,,,2024,Annual
Capital Lease Obligations ,CapitalLeaseObligations,107.98,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,271.44,,,2024,Annual
Total Debt ,TotalDebt,419.44,,,2024,Annual
Deferred Income Tax ,DeferredIncomeTax,461.08,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,751.47,,,2024,Annual
Total Liabilities ,TotalLiabilities,5082.40,,,2024,Annual
Common Stock Total ,CommonStockTotal,27.38,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,319.60,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),17632.64,,,2024,Annual
Other Equity Total ,OtherEquityTotal,65.91,,,2024,Annual
Total Equity ,TotalEquity,18045.53,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,23127.93,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,27.38,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,621.24,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
