displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,4178.84,,,2024,Interim
Total Revenue ,TotalRevenue,4178.84,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,2257.89,,,2024,Interim
Gross Profit ,GrossProfit,1920.95,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,309.33,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,147.54,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,521.35,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,3236.11,,,2024,Interim
Operating Income ,OperatingIncome,942.73,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,101.42,,,2024,Interim
Other Net ,OtherNet,253.73,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,1297.88,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,301.91,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,995.97,,,2024,Interim
Minority Interest ,MinorityInterest,0.00,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,995.97,,,2024,Interim
Net Income ,NetIncome,995.97,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,995.97,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,995.97,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,995.97,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,27.43,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,36.31,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,36.31,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
