displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,4393.05,,,2025,Interim
Total Revenue ,TotalRevenue,4393.05,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,2356.16,,,2025,Interim
Gross Profit ,GrossProfit,2036.89,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,353.62,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,168.63,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,517.84,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,3396.25,,,2025,Interim
Operating Income ,OperatingIncome,996.80,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,162.29,,,2025,Interim
Other Net ,OtherNet,281.95,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,1441.04,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,339.58,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,1101.46,,,2025,Interim
Minority Interest ,MinorityInterest,0.00,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,1101.46,,,2025,Interim
Net Income ,NetIncome,1101.46,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,1101.46,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,1101.46,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,1101.46,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,27.46,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,40.11,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,40.11,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
