displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,15431.40
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,0.02
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,15431.40
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),0.01
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,1.26
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,1.26
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,40.54
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,1.63
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,46.93
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,0.01
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,0.02
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,
Current ratio - most recent quarter,currentRatioMostRecentQuarter,1.63
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,40.54
