displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,18.14
"Revenue growth rate, 5 year",revenueGrowthRate5Year,15.57
"EPS growth rate, 5 year",ePSGrowthRate5Year,20.83
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,23.15
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,49.38
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,41.17
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),15.43
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,27.07
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,16.06
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,16.66
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,13.74
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,14.12
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,22.37
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,16.27
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),27.03
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,4.68
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,16.45
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,12.97
