Date,Price on NSE
2024-06-06,4719.75
2024-06-07,4762.0
2024-06-10,4782.75
2024-06-11,4758.65
2024-06-12,4850.65
2024-06-13,4801.5
2024-06-14,4935.1
2024-06-18,4936.1
2024-06-19,4880.75
2024-06-20,4876.9
2024-06-21,4845.5
2024-06-24,4870.9
2024-06-25,4775.05
2024-06-26,4739.7
2024-06-27,4713.8
2024-06-28,4672.95
2024-07-01,4635.55
2024-07-02,4625.75
2024-07-03,4692.3
2024-07-04,4689.5
2024-07-05,4737.3
2024-07-08,4754.45
2024-07-09,4828.7
2024-07-10,4849.15
2024-07-11,4828.65
2024-07-12,4860.7
2024-07-15,4881.35
2024-07-16,4916.1
2024-07-18,4941.1
2024-07-19,4850.7
2024-07-22,4857.35
2024-07-23,4919.55
2024-07-24,4915.35
2024-07-25,4900.65
2024-07-26,5012.5
2024-07-29,4962.25
2024-07-30,4951.85
2024-07-31,4962.7
2024-08-01,4968.8
2024-08-02,4726.7
2024-08-05,4675.75
2024-08-06,4653.9
2024-08-07,4597.15
2024-08-08,4576.9
2024-08-09,4830.6
2024-08-12,4808.8
2024-08-13,4802.25
2024-08-14,4733.25
2024-08-16,4818.0
2024-08-19,4813.3
2024-08-20,4883.25
2024-08-21,4913.55
2024-08-22,4933.55
2024-08-23,4898.1
2024-08-26,4875.2
2024-08-27,4868.85
2024-08-28,4946.85
2024-08-29,4915.9
2024-08-30,4960.5
2024-09-02,4911.95
2024-09-03,4865.8
2024-09-04,4833.55
2024-09-05,4800.1
2024-09-06,4752.5
2024-09-09,4747.35
2024-09-10,4737.2
2024-09-11,4726.65
2024-09-12,4875.0
2024-09-13,4858.3
2024-09-16,4899.2
2024-09-17,4850.2
2024-09-18,4850.35
2024-09-19,4864.9
2024-09-20,4963.15
2024-09-23,4879.55
2024-09-24,4876.9
2024-09-25,4895.25
2024-09-26,4994.25
2024-09-27,5062.6
2024-09-30,5026.25
2024-10-01,4972.65
2024-10-03,4782.5
2024-10-04,4706.8
2024-10-07,4667.95
2024-10-08,4693.45
2024-10-09,4708.9
2024-10-10,4697.9
2024-10-11,4728.05
2024-10-14,4779.8
2024-10-15,4722.1
2024-10-16,4678.25
2024-10-17,4623.85
2024-10-18,4765.65
2024-10-21,4810.45
2024-10-22,4759.05
2024-10-23,4677.75
2024-10-24,4668.5
2024-10-25,4591.6
2024-10-28,4720.65
2024-10-29,4898.15
2024-10-30,4869.25
2024-10-31,4894.65
2024-11-01,4953.6
2024-11-04,4831.85
2024-11-05,4899.8
2024-11-06,4917.15
2024-11-07,4878.0
2024-11-08,4785.25
2024-11-11,4793.45
2024-11-12,4738.2
2024-11-13,4588.7
2024-11-14,4883.7
2024-11-18,4875.65
2024-11-19,4965.45
2024-11-21,4882.1
2024-11-22,4986.2
2024-11-25,5002.35
2024-11-26,4931.75
2024-11-27,4917.5
2024-11-28,4815.7
2024-11-29,4831.85
2024-12-02,4820.7
2024-12-03,4844.35
2024-12-04,4797.05
2024-12-05,4837.55
2024-12-06,4877.05
2024-12-09,4842.1
2024-12-10,4813.05
2024-12-11,4801.95
2024-12-12,4807.65
2024-12-13,4825.9
2024-12-16,4838.5
2024-12-17,4742.65
2024-12-18,4749.85
2024-12-19,4771.95
2024-12-20,4734.5
2024-12-23,4750.55
2024-12-24,4792.9
2024-12-26,4801.35
2024-12-27,4876.9
2024-12-30,4855.8
2024-12-31,4821.9
2025-01-01,4885.3
2025-01-02,5308.1
2025-01-03,5310.75
2025-01-06,5250.1
2025-01-07,5177.3
2025-01-08,5163.2
2025-01-09,5139.9
2025-01-10,5058.45
2025-01-13,4939.1
2025-01-14,5029.55
2025-01-15,5081.9
2025-01-16,5047.8
2025-01-17,5012.3
2025-01-20,5016.75
2025-01-21,4969.95
2025-01-22,5009.7
2025-01-23,5116.2
2025-01-24,5206.3
2025-01-27,5144.5
2025-01-28,5105.4
2025-01-29,5182.9
2025-01-30,5164.35
2025-01-31,5194.3
2025-02-01,5390.15
2025-02-03,5485.25
2025-02-04,5450.1
2025-02-05,5417.2
2025-02-06,5342.0
2025-02-07,5372.55
2025-02-10,5335.35
2025-02-11,4972.35
2025-02-12,4849.45
2025-02-13,4820.4
2025-02-14,4703.35
2025-02-17,4745.2
2025-02-18,4719.4
2025-02-19,4810.6
2025-02-20,4888.4
2025-02-21,4962.45
2025-02-24,5010.8
2025-02-25,4989.8
2025-02-27,4935.5
2025-02-28,4773.6
2025-03-03,4906.6
2025-03-04,4815.1
2025-03-05,4988.3
2025-03-06,5094.4
2025-03-07,5100.7
2025-03-10,4990.55
2025-03-11,4985.55
2025-03-12,5017.45
2025-03-13,5015.25
2025-03-17,5050.25
2025-03-18,5127.4
2025-03-19,5100.9
2025-03-20,5229.35
2025-03-21,5305.95
2025-03-24,5424.2
2025-03-25,5431.25
2025-03-26,5403.3
2025-03-27,5345.75
2025-03-28,5347.7
2025-04-01,5307.2
2025-04-02,5355.5
2025-04-03,5379.15
2025-04-04,5247.9
2025-04-07,5065.25
2025-04-08,5231.35
2025-04-09,5258.3
2025-04-11,5350.9
2025-04-15,5529.0
2025-04-16,5615.5
2025-04-17,5678.5
2025-04-21,5810.5
2025-04-22,5784.0
2025-04-23,5740.0
2025-04-24,5650.5
2025-04-25,5575.5
2025-04-28,5622.0
2025-04-29,5579.0
2025-04-30,5567.0
2025-05-02,5437.5
2025-05-05,5460.5
2025-05-06,5515.0
2025-05-07,5489.0
2025-05-08,5372.5
2025-05-09,5324.0
2025-05-12,5520.0
2025-05-13,5419.0
2025-05-14,5446.5
2025-05-15,5466.0
2025-05-16,5509.5
2025-05-19,5530.0
2025-05-20,5387.5
2025-05-21,5409.0
2025-05-22,5387.0
2025-05-23,5400.0
2025-05-26,5427.5
2025-05-27,5389.5
2025-05-28,5326.5
2025-05-29,5379.0
2025-05-30,5333.5
2025-06-02,5361.0
2025-06-03,5354.0
2025-06-04,5319.5
2025-06-05,5308.5
2025-06-06,5394.0
