id,headline,intro,byline,date,timeToRead,premiumStory,section,keywords,url,thumbnailimage,listimage,smallimage,bigimage,imagecaption,image_621x414,image_222x148,sliderimages,slidervideos,interactives,body
11747798429461,"Maruti, Eicher to MRF: 6 auto stocks near record highs after strong rally. Do you own any?","Auto stocks, including Maruti Suzuki and MRF, are nearing record highs after a sustained upward trend. MRF is just 1% below its peak, while Mahindra &amp; Mahindra and TVS Motor Company are also close to their all-time highs, driven by improved market sentiment and economic recovery expectations.",A Ksheerasagar,"Wed, 21 May 2025 16:37 PM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/maruti-eicher-to-mrf-6-auto-stocks-near-record-highs-after-strong-rally-do-you-own-any-11747798429461.html,https://www.livemint.com/lm-img/img/2025/05/21/90x90/gcf6d1e802df950549c96c38e1498dacd79c471f4ca454c974_1725874394979_1747814302661.jpg,https://www.livemint.com/lm-img/img/2025/05/21/90x90/gcf6d1e802df950549c96c38e1498dacd79c471f4ca454c974_1725874394979_1747814302661.jpg,https://www.livemint.com/lm-img/img/2025/05/21/90x90/gcf6d1e802df950549c96c38e1498dacd79c471f4ca454c974_1725874394979_1747814302661.jpg,https://www.livemint.com/lm-img/img/2025/05/21/600x338/gcf6d1e802df950549c96c38e1498dacd79c471f4ca454c974_1725874394979_1747814302661.jpg,"From Maruti to MRF, 6 auto stocks near record highs after strong rally. Do you own any?",https://www.livemint.com/lm-img/img/2025/05/21/600x338/gcf6d1e802df950549c96c38e1498dacd79c471f4ca454c974_1725874394979_1747814302661.jpg,https://www.livemint.com/lm-img/img/2025/05/21/600x338/gcf6d1e802df950549c96c38e1498dacd79c471f4ca454c974_1725874394979_1747814302661.jpg,[],[],[],
11747560193764,Hero MotoCorp vs Eicher Motors: Which 2W stock looks better after Q4 performance?,"Hero MotoCorp and Eicher Motors reported Q4FY24 results meeting analyst expectations, driven by higher sales and exports. Analysts maintain an optimistic outlook, with target prices for Hero at  ?5,030 and Eicher at  ?5,665, reflecting strong market positions and product launches.",A Ksheerasagar,"Mon, 19 May 2025 12:42 PM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/hero-motocorp-vs-eicher-motors-which-2w-stock-looks-better-after-q4-performance-11747560193764.html,https://www.livemint.com/lm-img/img/2025/05/18/90x90/2-0-1412494113-Honda-Scooter-Assembly-Line22-20170_1747560399814_1747560400124.JPG,https://www.livemint.com/lm-img/img/2025/05/18/90x90/2-0-1412494113-Honda-Scooter-Assembly-Line22-20170_1747560399814_1747560400124.JPG,https://www.livemint.com/lm-img/img/2025/05/18/90x90/2-0-1412494113-Honda-Scooter-Assembly-Line22-20170_1747560399814_1747560400124.JPG,https://www.livemint.com/lm-img/img/2025/05/18/600x338/2-0-1412494113-Honda-Scooter-Assembly-Line22-20170_1747560399814_1747560400124.JPG,Hero MotoCorp vs Eicher Motors: Which 2W stock looks better after Q4 performance?,https://www.livemint.com/lm-img/img/2025/05/18/600x338/2-0-1412494113-Honda-Scooter-Assembly-Line22-20170_1747560399814_1747560400124.JPG,https://www.livemint.com/lm-img/img/2025/05/18/600x338/2-0-1412494113-Honda-Scooter-Assembly-Line22-20170_1747560399814_1747560400124.JPG,[],[],[],
11747275536016,"Stocks to watch: Tata Power, Eicher Motors, HUL, SBI, Infosys among shares in focus today",Here?s a quick look at stocks likely to be in focus in today's trade.,Vaamanaa Sethi,"Thu, 15 May 2025 08:20 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-watch-tata-power-eicher-motors-hul-sbi-infosys-among-shares-in-focus-today-11747275536016.html,https://www.livemint.com/lm-img/img/2025/05/15/90x90/Stock_1747277411978_1747277412252.JPG,https://www.livemint.com/lm-img/img/2025/05/15/90x90/Stock_1747277411978_1747277412252.JPG,https://www.livemint.com/lm-img/img/2025/05/15/90x90/Stock_1747277411978_1747277412252.JPG,https://www.livemint.com/lm-img/img/2025/05/15/600x338/Stock_1747277411978_1747277412252.JPG,"Stocks to watch: Tata Power, Eicher Motors, HUL, SBI, Infosys among shares in focus today.",https://www.livemint.com/lm-img/img/2025/05/15/600x338/Stock_1747277411978_1747277412252.JPG,https://www.livemint.com/lm-img/img/2025/05/15/600x338/Stock_1747277411978_1747277412252.JPG,[],[],[],
11747220134486,"Eicher Motors Q4 Results: Profit beats estimates with 27% jump to  ?1,362 crore, revenue rises 23%","Eicher Motors reported a 27.2% increase in consolidated net profit to  ?1,362 crore for Q4FY24, up from  ?1,071 crore last year. Revenue rose to  ?5,241 crore, an increase of 23.1%, with EBITDA at  ?1,258 crore and margins at 24%.",A Ksheerasagar,"Wed, 14 May 2025 17:17 PM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/eicher-motors-q4-results-profit-beats-estimates-with-27-jump-to-rs-1-362-crore-revenue-rises-23-11747220134486.html,https://www.livemint.com/lm-img/img/2025/05/14/90x90/EICHER-MOTORS-RESULTS--0_1739189201006_1747220144446.JPG,https://www.livemint.com/lm-img/img/2025/05/14/90x90/EICHER-MOTORS-RESULTS--0_1739189201006_1747220144446.JPG,https://www.livemint.com/lm-img/img/2025/05/14/90x90/EICHER-MOTORS-RESULTS--0_1739189201006_1747220144446.JPG,https://www.livemint.com/lm-img/img/2025/05/14/600x338/EICHER-MOTORS-RESULTS--0_1739189201006_1747220144446.JPG,"Eicher Motors announced its third-quarter results on Monday, February 10.",https://www.livemint.com/lm-img/img/2025/05/14/600x338/EICHER-MOTORS-RESULTS--0_1739189201006_1747220144446.JPG,https://www.livemint.com/lm-img/img/2025/05/14/600x338/EICHER-MOTORS-RESULTS--0_1739189201006_1747220144446.JPG,[],[],[],
11747185723027,"Stocks to watch: Bharti Airtel, Tata Motors, HAL, Cipla among shares in focus today",Here?s a quick look at stocks likely to be in focus in today's trade.,Vaamanaa Sethi,"Wed, 14 May 2025 07:35 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-watch-bharti-airtel-tata-motors-hal-cipla-among-shares-in-focus-today-11747185723027.html,https://www.livemint.com/lm-img/img/2025/05/14/90x90/stock_1747187325192_1747187325435.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/stock_1747187325192_1747187325435.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/stock_1747187325192_1747187325435.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/stock_1747187325192_1747187325435.jpg,"Stocks to watch: Bharti Airtel, Tata Motors, HAL, Cipla among shares in focus today.",https://www.livemint.com/lm-img/img/2025/05/14/600x338/stock_1747187325192_1747187325435.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/stock_1747187325192_1747187325435.jpg,[],[],[],
11747184968203,"Q4 results today: Tata Power, Eicher Motors, Lupin, Shree Cements, Muthoot Finance, Apollo Tyres, and more on May 14","Eicher Motors, Tata Power, Lupin, Apollo Tyres, Muthoot Finance, Jubilant Foodworks, Shree Cements, Sagility, and Berger Paints India are among 116 companies that will release their Q4 results on May 14 today.",Jocelyn Fernandes,"Wed, 14 May 2025 07:02 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/q4-results-today-may-14-tata-power-eicher-motors-lupin-shree-cements-muthoot-finance-apollo-tyres-berger-paints-jubilant-11747184968203.html,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/90x90/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,"Q4 results today, on May 14: Eicher Motors, Tata Power, Lupin, Apollo Tyres, Muthoot Finance, Jubilant Foodworks, Shree Cements, Sagility, and Berger Paints India are among 116 companies that will release their Q4FY25 earnings.       ",https://www.livemint.com/lm-img/img/2025/05/14/600x338/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,https://www.livemint.com/lm-img/img/2025/05/14/600x338/Q4_results_today_May_14_Tata_Power_Eicher_Motors_1747185670934_1747185671246.jpg,[],[],[],
11745894827289,Stocks to buy for short term: From Sun Pharma to HAL? experts suggest THESE 6 stock picks; do you own any?,"Stocks to buy for the short term: Sun Pharma shows strong buying response after hitting a record high, trading above key moving averages. A breakout could lead to an upside move towards  ?2,025? ?2,040. Supreme Industries and Whirlpool of India also show potential for gains, according to analysts.",Nishant Kumar,"Tue, 29 Apr 2025 08:39 AM IST IST",5,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-buy-for-short-term-stock-picks-sun-pharma-hal-eicher-motors-bpcl-supreme-industries-whirlpool-of-india-11745894827289.html,https://www.livemint.com/lm-img/img/2025/04/29/90x90/Markets_Pixabay_1736503906719_1745894902901.jpg,https://www.livemint.com/lm-img/img/2025/04/29/90x90/Markets_Pixabay_1736503906719_1745894902901.jpg,https://www.livemint.com/lm-img/img/2025/04/29/90x90/Markets_Pixabay_1736503906719_1745894902901.jpg,https://www.livemint.com/lm-img/img/2025/04/29/600x338/Markets_Pixabay_1736503906719_1745894902901.jpg,Stocks to buy for short term: Experts say investors should bet on stocks with sound fundamentals and favourable technical indicators. ,https://www.livemint.com/lm-img/img/2025/04/29/600x338/Markets_Pixabay_1736503906719_1745894902901.jpg,https://www.livemint.com/lm-img/img/2025/04/29/600x338/Markets_Pixabay_1736503906719_1745894902901.jpg,[],[],[],
11744876728228,"Auto Sector Q4 Preview: Four-wheelers to drive momentum, says Emkay; TVS Motor, M&amp;M, MSIL among top picks","Emkay Global Financial Services anticipates moderate growth in India's auto sector for Q4 FY25, highlighting Eicher Motors, TVS Motor, Mahindra &amp; Mahindra, and Maruti Suzuki as key outperformers despite overall slowdown in growth rates.",Pranati Deva,"Thu, 17 Apr 2025 14:30 PM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/auto-sector-q4-preview-four-wheelers-to-drive-momentum-says-emkay-tvs-motor-m-m-msil-among-top-picks-11744876728228.html,https://www.livemint.com/lm-img/img/2025/04/17/90x90/im-41964196_1744276379073_1744880149917.jpg,https://www.livemint.com/lm-img/img/2025/04/17/90x90/im-41964196_1744276379073_1744880149917.jpg,https://www.livemint.com/lm-img/img/2025/04/17/90x90/im-41964196_1744276379073_1744880149917.jpg,https://www.livemint.com/lm-img/img/2025/04/17/600x338/im-41964196_1744276379073_1744880149917.jpg,"Auto Sector Q4 Preview: Four-wheelers to drive momentum, says Emkay; TVS Motor, M&M, MSIL among top picks",https://www.livemint.com/lm-img/img/2025/04/17/600x338/im-41964196_1744276379073_1744880149917.jpg,https://www.livemint.com/lm-img/img/2025/04/17/600x338/im-41964196_1744276379073_1744880149917.jpg,[],[],[],
11743758623997,"When electric scooters beat the Bullet, it?s a sign of things to come","India?s two-wheeler market used to be about ?mileage? before premium vehicles became popular. The market is at an interesting inflection point now, powered by both growing demand for petrol-shunning electric scooters and wide acceptance of premium two-wheelers.",T. Surendar,"Sat, 05 Apr 2025 10:00 AM IST IST",3,true,Opinion,,https://www.livemint.com/opinion/online-views/electric-scooters-two-wheelers-evs-ola-bajaj-auto-hero-honda-tvs-motors-ather-premium-motorcycles-bikes-royal-enfield-11743758623997.html,https://www.livemint.com/lm-img/img/2025/04/04/90x90/jbjjbjb_1734681360293_1743760397918.webp,https://www.livemint.com/lm-img/img/2025/04/04/90x90/jbjjbjb_1734681360293_1743760397918.webp,https://www.livemint.com/lm-img/img/2025/04/04/90x90/jbjjbjb_1734681360293_1743760397918.webp,https://www.livemint.com/lm-img/img/2025/04/04/600x338/jbjjbjb_1734681360293_1743760397918.webp,"Bajaj Auto, which introduced electric versions of the iconic Chetak a few years ago, was India's highest seller of electric scooters in March. (Bajaj Auto)",https://www.livemint.com/lm-img/img/2025/04/04/600x338/jbjjbjb_1734681360293_1743760397918.webp,https://www.livemint.com/lm-img/img/2025/04/04/600x338/jbjjbjb_1734681360293_1743760397918.webp,[],[],[],
11743625998705,From Tata Motors to Eicher Motors? auto stocks to be in focus on Thursday. Here's why,"Despite new tariffs on foreign automobiles, India's passenger car exports to the US remain minimal, indicating resilience in the auto sector. However, the auto parts industry faces potential challenges.&nbsp;",Nishant Kumar,"Thu, 03 Apr 2025 02:33 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/from-tata-motors-to-eicher-motors-auto-stocks-to-be-in-focus-on-thursday-heres-why-11743625998705.html,https://www.livemint.com/lm-img/img/2025/04/02/90x90/2-0-71518019-CHANDIGARH-3C-0_1681409820734_1743626022644.jpg,https://www.livemint.com/lm-img/img/2025/04/02/90x90/2-0-71518019-CHANDIGARH-3C-0_1681409820734_1743626022644.jpg,https://www.livemint.com/lm-img/img/2025/04/02/90x90/2-0-71518019-CHANDIGARH-3C-0_1681409820734_1743626022644.jpg,https://www.livemint.com/lm-img/img/2025/04/02/600x338/2-0-71518019-CHANDIGARH-3C-0_1681409820734_1743626022644.jpg,Auto stocks such as Tata Motors and Eicher Motors will be in focus tomorrow after US President Donald Trump announced a 25 per cent tariff on automobile imports. PTI PHOTO,https://www.livemint.com/lm-img/img/2025/04/02/600x338/2-0-71518019-CHANDIGARH-3C-0_1681409820734_1743626022644.jpg,https://www.livemint.com/lm-img/img/2025/04/02/600x338/2-0-71518019-CHANDIGARH-3C-0_1681409820734_1743626022644.jpg,[],[],[],
