Date,Volume,Delivery (%)
2024-06-06,764210,49.0
2024-06-07,425280,47.0
2024-06-10,305336,48.0
2024-06-11,749193,68.0
2024-06-12,531874,53.0
2024-06-13,853408,66.0
2024-06-14,559276,37.0
2024-06-18,716210,46.0
2024-06-19,658974,63.0
2024-06-20,659121,64.0
2024-06-21,435414,55.0
2024-06-24,310455,53.0
2024-06-25,682010,72.0
2024-06-26,607573,62.0
2024-06-27,1096288,
2024-06-28,949187,67.0
2024-07-01,1373092,72.0
2024-07-02,880175,64.0
2024-07-03,267501,44.0
2024-07-04,318055,53.0
2024-07-05,272964,43.0
2024-07-08,545846,74.0
2024-07-09,645179,66.0
2024-07-10,845445,46.0
2024-07-11,311455,55.0
2024-07-12,300160,61.0
2024-07-15,229601,43.0
2024-07-16,701362,71.0
2024-07-18,802127,58.0
2024-07-19,666779,63.0
2024-07-22,385578,60.0
2024-07-23,1160721,48.0
2024-07-24,419834,65.0
2024-07-25,416043,58.0
2024-07-26,649408,35.0
2024-07-29,343241,60.0
2024-07-30,692254,59.0
2024-07-31,589086,69.0
2024-08-01,666951,51.0
2024-08-02,2138556,64.0
2024-08-05,957123,53.0
2024-08-06,598352,51.0
2024-08-07,1108038,67.0
2024-08-08,1015532,58.0
2024-08-09,1777515,22.0
2024-08-12,767687,60.0
2024-08-13,197974,47.0
2024-08-14,338478,50.0
2024-08-16,262343,47.0
2024-08-19,282927,59.0
2024-08-20,533477,63.0
2024-08-21,227452,60.0
2024-08-22,538958,71.0
2024-08-23,214214,39.0
2024-08-26,331172,61.0
2024-08-27,388528,62.0
2024-08-28,428713,46.0
2024-08-29,574021,52.0
2024-08-30,469091,55.0
2024-09-02,315859,46.0
2024-09-03,265918,63.0
2024-09-04,486101,61.0
2024-09-05,403681,68.0
2024-09-06,293809,57.0
2024-09-09,276737,59.0
2024-09-10,407721,56.0
2024-09-11,390819,39.0
2024-09-12,782186,47.0
2024-09-13,321883,45.0
2024-09-16,464967,27.0
2024-09-17,372793,32.0
2024-09-18,299616,33.0
2024-09-19,360566,56.0
2024-09-20,1350880,44.0
2024-09-23,916891,59.0
2024-09-24,489736,65.0
2024-09-25,688647,64.0
2024-09-26,810908,54.0
2024-09-27,1069080,49.0
2024-09-30,525746,56.0
2024-10-01,453906,51.0
2024-10-03,1353664,49.0
2024-10-04,510562,54.0
2024-10-07,459291,61.0
2024-10-08,670495,56.0
2024-10-09,938369,73.0
2024-10-10,323313,48.0
2024-10-11,855004,58.0
2024-10-14,371821,58.0
2024-10-15,373462,54.0
2024-10-16,396410,56.0
2024-10-17,524143,39.0
2024-10-18,796056,35.0
2024-10-21,764809,58.0
2024-10-22,553167,72.0
2024-10-23,666214,53.0
2024-10-24,305307,60.0
2024-10-25,456850,63.0
2024-10-28,996515,65.0
2024-10-29,1086164,54.0
2024-10-30,862339,66.0
2024-10-31,514521,60.0
2024-11-01,85151,25.0
2024-11-04,730829,55.0
2024-11-05,511852,53.0
2024-11-06,387082,61.0
2024-11-07,251315,52.0
2024-11-08,199313,38.0
2024-11-11,214137,42.0
2024-11-12,332206,53.0
2024-11-13,677053,49.0
2024-11-14,2979641,13.0
2024-11-18,510328,41.0
