Date,200 DMA
2024-06-06,2128.16
2024-06-07,2130.67
2024-06-10,2133.81
2024-06-11,2137.03
2024-06-12,2140.14
2024-06-13,2143.31
2024-06-14,2146.57
2024-06-18,2149.66
2024-06-19,2152.62
2024-06-20,2156.07
2024-06-21,2159.15
2024-06-24,2162.69
2024-06-25,2166.22
2024-06-26,2170.06
2024-06-27,2174.71
2024-06-28,2179.65
2024-07-01,2185.09
2024-07-02,2190.64
2024-07-03,2196.13
2024-07-04,2201.49
2024-07-05,2206.93
2024-07-08,2212.25
2024-07-09,2217.72
2024-07-10,2223.53
2024-07-11,2229.29
2024-07-12,2235.4
2024-07-15,2241.06
2024-07-16,2246.89
2024-07-18,2252.31
2024-07-19,2257.19
2024-07-22,2262.71
2024-07-23,2268.29
2024-07-24,2273.64
2024-07-25,2278.86
2024-07-26,2284.47
2024-07-29,2289.88
2024-07-30,2294.87
2024-07-31,2299.66
2024-08-01,2304.31
2024-08-02,2308.32
2024-08-05,2311.34
2024-08-06,2314.42
2024-08-07,2317.63
2024-08-08,2319.89
2024-08-09,2322.4
2024-08-12,2324.88
2024-08-13,2326.81
2024-08-14,2328.66
2024-08-16,2331.36
2024-08-19,2334.02
2024-08-20,2337.03
2024-08-21,2340.49
2024-08-22,2344.62
2024-08-23,2348.64
2024-08-26,2352.5
2024-08-27,2355.96
2024-08-28,2359.53
2024-08-29,2362.68
2024-08-30,2366.03
2024-09-02,2369.26
2024-09-03,2372.62
2024-09-04,2376.45
2024-09-05,2380.08
2024-09-06,2383.2
2024-09-09,2386.45
2024-09-10,2389.6
2024-09-11,2392.5
2024-09-12,2396.13
2024-09-13,2399.99
2024-09-16,2403.62
2024-09-17,2407.12
2024-09-18,2410.26
2024-09-19,2413.53
2024-09-20,2416.16
2024-09-23,2418.66
2024-09-24,2420.65
2024-09-25,2423.06
2024-09-26,2426.27
2024-09-27,2429.82
2024-09-30,2433.46
2024-10-01,2437.12
2024-10-03,2440.39
2024-10-04,2443.42
2024-10-07,2446.18
2024-10-08,2449.09
2024-10-09,2451.74
2024-10-10,2454.43
2024-10-11,2457.13
2024-10-14,2459.81
2024-10-15,2462.56
2024-10-16,2465.56
2024-10-17,2467.95
2024-10-18,2470.87
2024-10-21,2473.33
2024-10-22,2475.14
2024-10-23,2476.71
2024-10-24,2478.6
2024-10-25,2479.96
2024-10-28,2481.62
2024-10-29,2483.66
2024-10-30,2485.54
2024-10-31,2487.63
2024-11-01,2489.73
2024-11-04,2490.74
2024-11-05,2492.33
2024-11-06,2493.86
2024-11-07,2494.54
2024-11-08,2495.04
2024-11-11,2495.29
2024-11-12,2495.54
2024-11-13,2495.62
2024-11-14,2495.9
2024-11-18,2496.11
2024-11-19,2496.23
2024-11-21,2496.62
2024-11-22,2497.63
2024-11-25,2498.95
2024-11-26,2500.12
2024-11-27,2501.33
2024-11-28,2502.02
2024-11-29,2503.06
2024-12-02,2504.95
2024-12-03,2507.03
2024-12-04,2509.13
2024-12-05,2511.09
2024-12-06,2512.99
2024-12-09,2514.67
2024-12-10,2516.07
2024-12-11,2517.61
2024-12-12,2519.02
2024-12-13,2520.75
2024-12-16,2522.39
2024-12-17,2523.16
2024-12-18,2523.86
2024-12-19,2524.01
2024-12-20,2523.66
2024-12-23,2523.69
2024-12-24,2523.47
2024-12-26,2523.06
2024-12-27,2522.63
2024-12-30,2521.85
2024-12-31,2521.06
2025-01-01,2520.27
2025-01-02,2520.51
2025-01-03,2520.4
2025-01-06,2519.81
2025-01-07,2519.29
2025-01-08,2518.45
2025-01-09,2517.38
2025-01-10,2515.85
2025-01-13,2513.59
2025-01-14,2511.57
2025-01-15,2509.64
2025-01-16,2508.06
2025-01-17,2506.74
2025-01-20,2505.7
2025-01-21,2504.32
2025-01-22,2503.17
2025-01-23,2502.75
2025-01-24,2502.63
2025-01-27,2502.19
2025-01-28,2501.28
2025-01-29,2500.81
