displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,12246.53,,,2022,Annual
Depreciation/ Depletion ,Depreciation/Depletion,4161.07,,,2022,Annual
Non- Cash Items ,Non-CashItems,6638.83,,,2022,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-14370.23,,,2022,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,8676.20,,,2022,Annual
Capital Expenditures ,CapitalExpenditures,-8587.68,,,2022,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,4995.57,,,2022,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-3592.11,,,2022,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-191.29,,,2022,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1065.50,,,2022,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-125.04,,,2022,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-4449.82,,,2022,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-5831.65,,,2022,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-0.47,,,2022,Annual
Net Changein Cash ,NetChangeinCash,-748.03,,,2022,Annual
Cash Interest Paid ,CashInterestPaid,1322.55,,,2022,Annual
Cash Taxes Paid ,CashTaxesPaid,2965.64,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
