displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,33860.75,,,2025,Interim
Total Revenue ,TotalRevenue,33860.75,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,12519.06,,,2025,Interim
Gross Profit ,GrossProfit,21341.69,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,8667.11,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,1367.73,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),-32.50,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,5970.05,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,28491.45,,,2025,Interim
Operating Income ,OperatingIncome,5369.30,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-2693.15,,,2025,Interim
Other Net ,OtherNet,300.02,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,2976.17,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,708.43,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,2267.74,,,2025,Interim
Minority Interest ,MinorityInterest,-1059.81,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,1207.93,,,2025,Interim
Net Income ,NetIncome,1207.93,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,1207.93,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,1207.93,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,1207.93,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,66.63,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,18.13,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,17.76,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
