displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,1.79
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,-352699.40
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,1.91
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,-352699.40
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),1.29
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,0.72
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,0.72
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,16.99
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,0.87
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,1.29
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,1.91
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,1.84
Current ratio - most recent quarter,currentRatioMostRecentQuarter,0.87
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,18.31
