displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,14.97
Gross Margin - 5 year average,grossMargin5YearAverage,61.53
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),14.53
Operating Margin - 5 year average,operatingMargin5YearAverage,15.94
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,5.22
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,63.48
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,5.59
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,8.12
Pretax Margin - 5 year average,pretaxMargin5YearAverage,10.83
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,-24.08
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,7.29
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,7.77
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,-14.24
Gross Margin - trailing 12 month,grossMarginTrailing12Month,63.53
