displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,7.07
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,2.57
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,1.70
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,18.31
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,2.72
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,1.79
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,3.56
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),3.51
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,2.75
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,4.29
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,18.06
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.33
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.32
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),3.98
Return on investment - 5 year average,returnOnInvestment5YearAverage,4.16
