displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,7.98
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,215.11
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,212.82
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,932.89
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,423.44
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,59.54
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,55.50
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,421.92
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,2186.41
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,59.54
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,55.57
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,59.80
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,1437.31
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,1437.31
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,10.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,2223.76
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,58.06
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,932.89
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,10.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,55.50
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,423.44
