tickerId,companyName,remarks,boardMeetDate,purpose
S0003045,Hcl Technologies,,2025-04-22,Audited Results & Interim Dividend
S0003045,Hcl Technologies,,2025-01-13,Quarterly Results & Interim Dividend
S0003045,Hcl Technologies,,2024-07-12,Quarterly Results & Interim Dividend
S0003045,Hcl Technologies,,2024-04-26,Audited Results & Interim Dividend
S0003045,Hcl Technologies,,2024-01-12,Quarterly Results & 4th Interim Dividend
S0003045,Hcl Technologies,,2023-10-12,Quarterly Results & Interim Dividend
S0003045,Hcl Technologies,,2023-07-12,Quarterly Results & 2nd Interim Dividend
S0003045,Hcl Technologies,,2023-04-20,Audited Results & Interim Dividend
S0003045,Hcl Technologies,,2023-01-12,Quarterly Results & 4th Interim Dividend
S0003045,Hcl Technologies,,2022-10-12,Quarterly Results & Interim Dividend
S0003045,Hcl Technologies,,2022-07-12,Quarterly Results & 2nd Interim Dividend
S0003045,Hcl Technologies,,2022-04-21,Audited Results & Interim Dividend
S0003045,Hcl Technologies,,2022-01-14,Quarterly Results & Interim Dividend
S0003045,Hcl Technologies,,2021-10-14,Quarterly Results & 3rd Interim Dividend
S0003045,Hcl Technologies,,2021-07-19,Quarterly Results & Interim Dividend
S0003045,Hcl Technologies,,2021-04-23,Audited Results & Interim Dividend
S0003045,Hcl Technologies,,2021-01-15,Quarterly Results & Interim Dividend
