tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003045,Hcl Technologies,Rs.18.0000 per share(900%)Interim Dividend,2025-04-28,2025-04-28,Interim,5,18,900,2025-04-22,,,2025-04-28
S0003045,Hcl Technologies,Rs.12.0000 per share(600%)Interim Dividend,2025-01-17,2025-01-17,Interim,5,12,600,2025-01-13,,,2025-01-17
S0003045,Hcl Technologies,Rs.6.0000 per share(300%)Special Dividend,2025-01-17,2025-01-17,Special,5,6,300,2025-01-14,,,2025-01-17
S0003045,Hcl Technologies,Rs.12.0000 per share(600%)Third Interim Dividend,2024-10-22,2024-10-22,Interim,5,12,600,2024-09-17,,,2024-10-22
S0003045,Hcl Technologies,Rs.12.0000 per share(600%)Second Interim Dividend,2024-07-23,2024-07-23,Interim,5,12,600,2024-06-18,,,2024-07-23
S0003045,Hcl Technologies,Rs.18.0000 per share(900%) First Interim Dividend,2024-05-07,2024-05-07,Interim,5,18,900,2024-03-20,,,2024-05-07
S0003045,Hcl Technologies,Rs.12.0000 per share(600%)Interim Dividend,2024-01-20,2024-01-19,Interim,5,12,600,2023-12-15,,,2024-01-19
S0003045,Hcl Technologies,Rs.12.0000 per share(600%)Third Interim Dividend,2023-10-20,2023-10-20,Interim,5,12,600,2023-09-15,,,2023-10-20
S0003045,Hcl Technologies,Rs.10.0000 per share(500%)Second Interim Dividend,2023-07-20,2023-07-20,Interim,5,10,500,2023-06-15,,,2023-07-20
S0003045,Hcl Technologies,Rs.18.0000 per share(900%)Interim Dividend,2023-04-28,2023-04-28,Interim,5,18,900,2023-03-17,,,2023-04-28
S0003045,Hcl Technologies,Rs.10.0000 per share(500%)Interim Dividend,2023-01-20,2023-01-19,Interim,5,10,500,2022-12-16,,,2023-01-19
S0003045,Hcl Technologies,Rs.10.0000 per share(500%)Third Interim Dividend,2022-10-20,2022-10-19,Interim,5,10,500,2022-10-12,,,2022-10-19
S0003045,Hcl Technologies,Rs.10.0000 per share(500%)Second Interim Dividend,2022-07-20,2022-07-19,Interim,5,10,500,2022-07-04,,,2022-07-19
S0003045,Hcl Technologies,Rs.18.0000 per share(900%)Interim Dividend,2022-04-29,2022-04-28,Interim,5,18,900,2022-04-01,,,2022-04-28
S0003045,Hcl Technologies,Rs.10.0000 per share(500%)Interim Dividend,2022-01-22,2022-01-20,Interim,5,10,500,2021-12-24,,,2022-01-20
S0003045,Hcl Technologies,Rs.10.0000 per share(500%)Interim Dividend,2021-10-23,2021-10-21,Interim,5,10,500,2021-09-15,,,2021-10-21
S0003045,Hcl Technologies,Rs.6.0000 per share(300%)Second Interim Dividend,2021-07-28,2021-07-27,Interim,5,6,300,2021-07-07,,,2021-07-27
S0003045,Hcl Technologies,Rs.6.0000 per share (300%) First Interim Dividend,2021-05-01,2021-04-29,Interim,5,6,300,2021-04-13,,,2021-04-29
S0003045,Hcl Technologies,Rs.10.0000 per share(500%)Special Dividend,2021-05-01,2021-04-29,Special,5,10,500,2021-04-14,,,2021-04-29
S0003045,Hcl Technologies,Rs.4.0000 per share(200%)Interim Dividend,2021-01-23,2021-01-21,Interim,5,4,200,2021-01-15,,,2021-01-21
