displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,8506.00,,,2024,Interim
Cash Equivalents ,CashEquivalents,935.00,,,2024,Interim
Short Term Investments ,ShortTermInvestments,17737.00,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,27178.00,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,26797.00,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,28777.00,,,2024,Interim
Total Inventory ,TotalInventory,287.00,,,2024,Interim
Prepaid Expenses ,PrepaidExpenses,1821.00,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,1268.00,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,59331.00,,,2024,Interim
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,17359.00,,,2024,Interim
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-9558,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,7909.00,,,2024,Interim
Goodwill Net ,GoodwillNet,20132.00,,,2024,Interim
Intangibles Net ,IntangiblesNet,7130.00,,,2024,Interim
Long Term Investments ,LongTermInvestments,349.00,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,1652.00,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,3274.00,,,2024,Interim
Total Assets ,TotalAssets,99777.00,,,2024,Interim
Accounts Payable ,AccountsPayable,2917.00,,,2024,Interim
Accrued Expenses ,AccruedExpenses,8241.00,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,15.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1179.00,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,10374.00,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,22726.00,,,2024,Interim
Long Term Debt ,LongTermDebt,2223.00,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,2339.00,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,4562.00,,,2024,Interim
Total Debt ,TotalDebt,5756.00,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,771.00,,,2024,Interim
Minority Interest ,MinorityInterest,8.00,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,3447.00,,,2024,Interim
Total Liabilities ,TotalLiabilities,31514.00,,,2024,Interim
Common Stock Total ,CommonStockTotal,543.00,,,2024,Interim
Additional Paid- In Capital ,AdditionalPaid-InCapital,7.00,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),62588.00,,,2024,Interim
Treasury Stock- Common ,TreasuryStock-Common,-722,,,2024,Interim
Other Equity Total ,OtherEquityTotal,5847.00,,,2024,Interim
Total Equity ,TotalEquity,68263.00,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,99777.00,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,271.37,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,151.09,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
