displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,20967.00,,,2024,Annual
Depreciation/ Depletion ,Depreciation/Depletion,4173.00,,,2024,Annual
Non- Cash Items ,Non-CashItems,-785,,,2024,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-1907,,,2024,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,22448.00,,,2024,Annual
Capital Expenditures ,CapitalExpenditures,-1048,,,2024,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-5675,,,2024,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-6723,,,2024,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-62,,,2024,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-14073,,,2024,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-1329,,,2024,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-15464,,,2024,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,115.00,,,2024,Annual
Net Changein Cash ,NetChangeinCash,376.00,,,2024,Annual
Cash Interest Paid ,CashInterestPaid,64.00,,,2024,Annual
Cash Taxes Paid ,CashTaxesPaid,4494.00,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
