displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,86871.49,,,2021,Annual
Total Revenue ,TotalRevenue,86871.49,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,52033.98,,,2021,Annual
Gross Profit ,GrossProfit,34837.51,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,10925.84,,,2021,Annual
Research Development ,ResearchDevelopment,1613.35,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,4595.51,,,2021,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,88.66,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),-111.05,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,-736.64,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,68409.65,,,2021,Annual
Operating Income ,OperatingIncome,18461.84,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,18461.84,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4047.58,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,14414.25,,,2021,Annual
Minority Interest ,MinorityInterest,-64.67,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,14349.59,,,2021,Annual
Net Income ,NetIncome,14349.59,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,14349.59,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,14349.59,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,14349.59,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,271.37,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,52.88,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,18.60,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,53.66,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
