displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,10.81
"Revenue growth rate, 5 year",revenueGrowthRate5Year,
"EPS growth rate, 5 year",ePSGrowthRate5Year,
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,6.13
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,7.06
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,8.79
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,-13.52
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,13.34
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,8.05
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,-9.90
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,6.50
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,10.97
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,6.32
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),8.26
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-4.70
