displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,22.52
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,16.95
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,4.45
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,22.52
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,16.95
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,81.86
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),81.86
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,25.22
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,4.45
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,1.14
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,1.14
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),25.22
Return on investment - 5 year average,returnOnInvestment5YearAverage,
