displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,79.20
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,79.17
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,151.09
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,111.85
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,64.11
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,64.09
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,94.02
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,431.53
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,64.11
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,64.16
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,64.16
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,256.68
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,256.68
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,54.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,431.40
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,64.09
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,151.09
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,54.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,64.09
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,111.85
