displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,125468.72,,,2021,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,448692.96,,,2021,Annual
Net Loans ,NetLoans,1171217.48,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,15456.02,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-10356.45,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,5099.56,,,2021,Annual
Goodwill Net ,GoodwillNet,0.01,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,0.55,,,2021,Annual
Other Assets Total ,OtherAssetsTotal,49027.35,,,2021,Annual
Total Assets ,TotalAssets,1799506.64,,,2021,Annual
Accrued Expenses ,AccruedExpenses,8123.58,,,2021,Annual
Total Deposits ,TotalDeposits,1333720.88,,,2021,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,12424.19,,,2021,Annual
Long Term Debt ,LongTermDebt,177696.75,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,177696.75,,,2021,Annual
Total Debt ,TotalDebt,190120.94,,,2021,Annual
Minority Interest ,MinorityInterest,632.76,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,57098.29,,,2021,Annual
Total Liabilities ,TotalLiabilities,1589696.46,,,2021,Annual
Common Stock Total ,CommonStockTotal,551.28,,,2021,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,60512.68,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),148564.19,,,2021,Annual
Other Equity Total ,OtherEquityTotal,182.04,,,2021,Annual
Total Equity ,TotalEquity,209810.19,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,1799506.64,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,551.28,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,380.59,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
