displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,42772.58,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1385.01,,,2021,Annual
Non- Cash Items ,Non-CashItems,6048.83,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-7729.96,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,42476.46,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-1696.15,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,15.28,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-1680.87,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,56.12,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,0.00,,,2021,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,1760.10,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-9137.57,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-7321.35,,,2021,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-141.83,,,2021,Annual
Net Changein Cash ,NetChangeinCash,33332.41,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,13021.45,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
