displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,128552.39,,,2021,Annual
Total Interest Expense ,TotalInterestExpense,59247.58,,,2021,Annual
Net Interest Income ,NetInterestIncome,69304.81,,,2021,Annual
Loan Loss Provision ,LoanLossProvision,13574.54,,,2021,Annual
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,55730.27,,,2021,Annual
Non- Interest Income Bank ,Non-InterestIncomeBank,27332.88,,,2021,Annual
Non- Interest Expense Bank ,Non-InterestExpenseBank,-40267.01,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,42796.15,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,10939.38,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,31856.77,,,2021,Annual
Minority Interest ,MinorityInterest,-23.56,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,31833.21,,,2021,Annual
Net Income ,NetIncome,31833.21,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,31833.21,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,31833.21,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,31833.21,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,552.54,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,57.61,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,6.50,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,57.53,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
