displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,79433.61,,,2024,Interim
Total Interest Expense ,TotalInterestExpense,43691.51,,,2024,Interim
Net Interest Income ,NetInterestIncome,35742.10,,,2024,Interim
Loan Loss Provision ,LoanLossProvision,13810.54,,,2024,Interim
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,21931.56,,,2024,Interim
Non- Interest Income Bank ,Non-InterestIncomeBank,44957.74,,,2024,Interim
Non- Interest Expense Bank ,Non-InterestExpenseBank,-49127.91,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,17761.39,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,-251.48,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,18012.87,,,2024,Interim
Minority Interest ,MinorityInterest,-390.49,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,17622.38,,,2024,Interim
Net Income ,NetIncome,17622.38,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,17622.38,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,17622.38,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,17622.38,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,761.60,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,23.14,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,19.50,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,23.14,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
