displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,148366.56,,,2023,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,569063.13,,,2023,Annual
Net Loans ,NetLoans,1653249.12,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,21673.57,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-13391.01,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,8282.56,,,2023,Annual
Goodwill Net ,GoodwillNet,148.79,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,7292.26,,,2023,Annual
Other Assets Total ,OtherAssetsTotal,144030.02,,,2023,Annual
Total Assets ,TotalAssets,2530432.44,,,2023,Annual
Accrued Expenses ,AccruedExpenses,11393.84,,,2023,Annual
Total Deposits ,TotalDeposits,1882663.25,,,2023,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,11790.76,,,2023,Annual
Long Term Debt ,LongTermDebt,256548.66,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,256548.66,,,2023,Annual
Total Debt ,TotalDebt,268339.42,,,2023,Annual
Minority Interest ,MinorityInterest,860.26,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,77738.17,,,2023,Annual
Total Liabilities ,TotalLiabilities,2240994.94,,,2023,Annual
Common Stock Total ,CommonStockTotal,557.97,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,66539.42,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),220528.12,,,2023,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,1117.20,,,2023,Annual
Other Equity Total ,OtherEquityTotal,694.79,,,2023,Annual
Total Equity ,TotalEquity,289437.50,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,2530432.44,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,557.97,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,518.46,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
