displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,212584.63,,,2024,Interim
Other Earning Assets Total ,OtherEarningAssetsTotal,1027054.79,,,2024,Interim
Net Loans ,NetLoans,2560568.13,,,2024,Interim
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,30266.33,,,2024,Interim
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-17662.57,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,12603.76,,,2024,Interim
Goodwill Net ,GoodwillNet,0.00,,,2024,Interim
Long Term Investments ,LongTermInvestments,200.00,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,9301.96,,,2024,Interim
Other Assets Total ,OtherAssetsTotal,207880.99,,,2024,Interim
Total Assets ,TotalAssets,4030194.26,,,2024,Interim
Accrued Expenses ,AccruedExpenses,23853.43,,,2024,Interim
Total Deposits ,TotalDeposits,2376887.28,,,2024,Interim
Total Short Term Borrowings ,TotalShortTermBorrowings,13932.56,,,2024,Interim
Long Term Debt ,LongTermDebt,730615.46,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,730615.46,,,2024,Interim
Total Debt ,TotalDebt,744548.02,,,2024,Interim
Minority Interest ,MinorityInterest,13383.40,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,415126.88,,,2024,Interim
Total Liabilities ,TotalLiabilities,3573799.01,,,2024,Interim
Common Stock Total ,CommonStockTotal,759.69,,,2024,Interim
Additional Paid- In Capital ,AdditionalPaid-InCapital,127053.27,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),324213.48,,,2024,Interim
ESOP Debt Guarantee ,ESOPDebtGuarantee,2652.72,,,2024,Interim
Other Equity Total ,OtherEquityTotal,1716.09,,,2024,Interim
Total Equity ,TotalEquity,456395.25,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,4030194.26,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,759.69,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,600.76,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
