Date,Volume,Delivery (%)
2024-06-06,23462691,53.0
2024-06-07,19631180,44.0
2024-06-10,12477295,61.0
2024-06-11,15340143,56.0
2024-06-12,19988990,48.0
2024-06-13,12284729,64.0
2024-06-14,14725338,58.0
2024-06-18,16973695,57.0
2024-06-19,47448845,55.0
2024-06-20,21691867,62.0
2024-06-21,27219253,51.0
2024-06-24,16114316,52.0
2024-06-25,38777838,51.0
2024-06-26,24170606,63.0
2024-06-27,27801273,
2024-06-28,14303198,56.0
2024-07-01,11544227,55.0
2024-07-02,23330290,44.0
2024-07-03,62373193,62.0
2024-07-04,23902386,67.0
2024-07-05,42884381,63.0
2024-07-08,21048721,70.0
2024-07-09,24484463,68.0
2024-07-10,23406990,65.0
2024-07-11,22800373,65.0
2024-07-12,28979172,58.0
2024-07-15,18091286,55.0
2024-07-16,14791107,58.0
2024-07-18,17374934,55.0
2024-07-19,13673199,60.0
2024-07-22,28454649,59.0
2024-07-23,26291320,39.0
2024-07-24,31126750,49.0
2024-07-25,13190428,53.0
2024-07-26,22917679,61.0
2024-07-29,27945184,45.0
2024-07-30,28046602,39.0
2024-07-31,19067991,52.0
2024-08-01,13905338,65.0
2024-08-02,23662475,55.0
2024-08-05,22908715,56.0
2024-08-06,22785443,64.0
2024-08-07,21306410,56.0
2024-08-08,17478626,55.0
2024-08-09,13807835,68.0
2024-08-12,21194705,61.0
2024-08-13,27998082,56.0
2024-08-14,16473195,52.0
2024-08-16,14902309,53.0
2024-08-19,10346481,53.0
2024-08-20,16005293,46.0
2024-08-21,23971990,61.0
2024-08-22,11098510,64.0
2024-08-23,10905715,68.0
2024-08-26,12355180,67.0
2024-08-27,18010213,61.0
2024-08-28,13568633,63.0
2024-08-29,25622334,76.0
2024-08-30,223952283,69.0
2024-09-02,17966861,68.0
2024-09-03,18869073,67.0
2024-09-04,12644289,51.0
2024-09-05,11704422,75.0
2024-09-06,13775928,63.0
2024-09-09,12452455,65.0
2024-09-10,13591046,52.0
2024-09-11,11344108,41.0
2024-09-12,16776573,57.0
2024-09-13,12375359,57.0
2024-09-16,8012825,66.0
2024-09-17,10404766,56.0
2024-09-18,20730821,59.0
2024-09-19,15598853,63.0
2024-09-20,32148962,55.0
2024-09-23,14462206,64.0
2024-09-24,16769328,56.0
2024-09-25,19481422,67.0
2024-09-26,16277712,68.0
2024-09-27,18039120,72.0
2024-09-30,13917536,70.0
2024-10-01,12401437,56.0
2024-10-03,28859395,76.0
2024-10-04,25376703,55.0
2024-10-07,49394965,58.0
2024-10-08,15109571,63.0
2024-10-09,21051086,46.0
2024-10-10,11191625,47.0
2024-10-11,12391277,70.0
2024-10-14,10036191,65.0
2024-10-15,10076327,60.0
2024-10-16,10535906,61.0
2024-10-17,7699180,64.0
2024-10-18,12776643,65.0
2024-10-21,24674639,53.0
2024-10-22,19883296,53.0
2024-10-23,19285548,64.0
2024-10-24,15652841,67.0
2024-10-25,13839255,59.0
2024-10-28,13402116,65.0
2024-10-29,18184564,59.0
2024-10-30,16540472,59.0
2024-10-31,11959710,69.0
2024-11-01,924732,36.0
2024-11-04,14389799,68.0
2024-11-05,22396573,56.0
2024-11-06,14117140,58.0
2024-11-07,9579359,60.0
2024-11-08,10118934,66.0
2024-11-11,13291020,58.0
2024-11-12,16018040,47.0
2024-11-13,18243944,55.0
2024-11-14,13991713,53.0
2024-11-18,13931463,69.0
2024-11-19,25688921,74.0
2024-11-21,18040383,66.0
2024-11-22,12824457,64.0
2024-11-25,215104937,81.0
2024-11-26,15691281,58.0
2024-11-27,16577528,53.0
2024-11-28,18076956,56.0
2024-11-29,14307858,64.0
2024-12-02,7732955,64.0
2024-12-03,21997534,72.0
2024-12-04,22804989,70.0
2024-12-05,20045361,58.0
2024-12-06,9200414,60.0
2024-12-09,13772026,74.0
2024-12-10,6742457,61.0
2024-12-11,7089201,57.0
2024-12-12,8797666,53.0
2024-12-13,9732627,52.0
2024-12-16,6687300,56.0
2024-12-17,10643821,56.0
2024-12-18,11813979,68.0
2024-12-19,12876469,67.0
2024-12-20,13095516,59.0
2024-12-23,5665638,54.0
2024-12-24,7439382,45.0
2024-12-26,5345487,51.0
2024-12-27,3848357,51.0
2024-12-30,11403615,55.0
2024-12-31,7165773,60.0
2025-01-01,3767598,44.0
2025-01-02,9358363,62.0
2025-01-03,12615900,60.0
2025-01-06,11150063,64.0
2025-01-07,7028274,64.0
2025-01-08,10120999,74.0
2025-01-09,20375532,78.0
2025-01-10,9359974,71.0
2025-01-13,11603686,68.0
2025-01-14,13790858,68.0
2025-01-15,7084656,64.0
2025-01-16,10668225,63.0
2025-01-17,11739462,71.0
2025-01-20,9037710,68.0
2025-01-21,16754657,44.0
2025-01-22,16647234,53.0
2025-01-23,19294165,70.0
2025-01-24,12315252,74.0
2025-01-27,11489226,74.0
2025-01-28,15514942,55.0
2025-01-29,6476607,68.0
2025-01-30,12953521,56.0
2025-01-31,9867792,74.0
2025-02-01,3040378,37.0
2025-02-03,10254695,77.0
2025-02-04,14641629,71.0
2025-02-05,12067312,79.0
2025-02-06,13546473,64.0
2025-02-07,12123161,67.0
2025-02-10,8787925,73.0
2025-02-11,11758179,67.0
