Date,50 DMA
2024-06-06,576.22
2024-06-07,575.7
2024-06-10,575.44
2024-06-11,575.29
2024-06-12,575.19
2024-06-13,575.91
2024-06-14,576.79
2024-06-18,577.75
2024-06-19,578.47
2024-06-20,578.93
2024-06-21,579.01
2024-06-24,579.03
2024-06-25,579.49
2024-06-26,579.87
2024-06-27,580.39
2024-06-28,580.97
2024-07-01,581.74
2024-07-02,582.06
2024-07-03,582.61
2024-07-04,583.45
2024-07-05,584.39
2024-07-08,585.82
2024-07-09,587.3
2024-07-10,589.08
2024-07-11,590.86
2024-07-12,592.61
2024-07-15,594.39
2024-07-16,596.44
2024-07-18,598.5
2024-07-19,599.97
2024-07-22,601.44
2024-07-23,603.1
2024-07-24,605.84
2024-07-25,608.87
2024-07-26,612.57
2024-07-29,615.88
2024-07-30,619.07
2024-07-31,622.85
2024-08-01,626.41
2024-08-02,629.58
2024-08-05,632.77
2024-08-06,634.61
2024-08-07,637.03
2024-08-08,639.9
2024-08-09,642.35
2024-08-12,644.71
2024-08-13,646.29
2024-08-14,647.86
2024-08-16,649.49
2024-08-19,650.91
2024-08-20,653.25
2024-08-21,656.05
2024-08-22,658.79
2024-08-23,661.54
2024-08-26,664.06
2024-08-27,667.02
2024-08-28,669.96
2024-08-29,672.59
2024-08-30,675.18
2024-09-02,677.93
2024-09-03,681.1
2024-09-04,684.15
2024-09-05,686.8
2024-09-06,688.82
2024-09-09,690.67
2024-09-10,691.15
2024-09-11,691.5
2024-09-12,692.4
2024-09-13,692.91
2024-09-16,693.24
2024-09-17,693.47
2024-09-18,693.67
2024-09-19,693.98
2024-09-20,694.65
2024-09-23,695.94
2024-09-24,696.91
2024-09-25,697.68
2024-09-26,698.93
2024-09-27,700.16
2024-09-30,700.86
2024-10-01,701.22
2024-10-03,701.26
2024-10-04,701.56
2024-10-07,701.73
2024-10-08,702.06
2024-10-09,702.65
2024-10-10,703.48
2024-10-11,704.28
2024-10-14,705.7
2024-10-15,706.04
2024-10-16,706.85
2024-10-17,707.61
2024-10-18,708.97
2024-10-21,710.42
2024-10-22,711.12
2024-10-23,711.61
2024-10-24,711.74
2024-10-25,711.65
2024-10-28,711.91
2024-10-29,713.1
2024-10-30,713.65
2024-10-31,713.9
2024-11-01,714.29
2024-11-04,714.15
2024-11-05,714.28
2024-11-06,714.06
2024-11-07,713.96
2024-11-08,713.75
2024-11-11,713.42
2024-11-12,712.89
2024-11-13,711.8
2024-11-14,711.1
2024-11-18,710.3
2024-11-19,709.12
2024-11-21,707.76
2024-11-22,706.99
2024-11-25,706.12
2024-11-26,705.19
2024-11-27,704.23
2024-11-28,702.4
2024-11-29,700.65
2024-12-02,698.28
2024-12-03,695.76
2024-12-04,693.98
2024-12-05,691.98
2024-12-06,689.81
2024-12-09,687.92
2024-12-10,685.78
2024-12-11,683.78
2024-12-12,681.53
2024-12-13,679.61
2024-12-16,677.86
2024-12-17,675.86
2024-12-18,673.84
2024-12-19,671.87
2024-12-20,669.99
2024-12-23,668.13
2024-12-24,666.34
2024-12-26,664.77
2024-12-27,663.09
2024-12-30,661.3
2024-12-31,659.56
2025-01-01,657.9
2025-01-02,656.42
2025-01-03,655.11
2025-01-06,653.18
2025-01-07,651.88
2025-01-08,650.55
2025-01-09,649.04
2025-01-10,647.46
2025-01-13,645.59
2025-01-14,643.82
2025-01-15,641.87
2025-01-16,641.85
2025-01-17,641.87
2025-01-20,641.56
2025-01-21,640.87
2025-01-22,639.98
2025-01-23,639.24
2025-01-24,638.53
2025-01-27,637.42
2025-01-28,636.4
2025-01-29,636.09
2025-01-30,636.01
2025-01-31,636.09
2025-02-01,635.67
2025-02-03,635.12
2025-02-04,634.75
2025-02-05,634.48
2025-02-06,634.38
2025-02-07,634.44
2025-02-10,634.48
2025-02-11,633.86
2025-02-12,633.68
2025-02-13,633.52
2025-02-14,633.23
2025-02-17,632.84
2025-02-18,632.29
2025-02-19,631.92
2025-02-20,631.46
2025-02-21,631.12
2025-02-24,630.57
2025-02-25,630.24
2025-02-27,629.77
2025-02-28,628.94
2025-03-03,628.51
2025-03-04,628.04
2025-03-05,627.77
2025-03-06,627.4
2025-03-07,627.31
2025-03-10,627.25
2025-03-11,627.63
2025-03-12,627.81
2025-03-13,627.59
2025-03-17,627.68
2025-03-18,628.18
2025-03-19,629.61
2025-03-20,631.37
2025-03-21,633.26
2025-03-24,635.09
2025-03-25,636.58
2025-03-26,637.82
2025-03-27,639.55
2025-03-28,641.36
2025-04-01,643.38
2025-04-02,645.45
2025-04-03,647.31
2025-04-04,648.95
2025-04-07,649.62
2025-04-08,651.03
2025-04-09,652.36
2025-04-11,653.66
2025-04-15,655.66
2025-04-16,658.03
2025-04-17,660.46
2025-04-21,662.49
2025-04-22,664.45
2025-04-23,666.2
2025-04-24,667.86
2025-04-25,669.3
2025-04-28,670.93
2025-04-29,672.66
2025-04-30,675.44
2025-05-02,677.5
2025-05-05,679.9
2025-05-06,681.58
2025-05-07,683.24
2025-05-08,684.79
2025-05-09,685.92
2025-05-12,687.83
2025-05-13,689.68
2025-05-14,691.72
2025-05-15,694.06
2025-05-16,696.27
2025-05-19,698.42
2025-05-20,700.32
2025-05-21,702.65
2025-05-22,704.74
2025-05-23,707.71
2025-05-26,710.54
2025-05-27,713.1
2025-05-28,716.09
2025-05-29,718.64
2025-05-30,720.92
2025-06-02,722.71
2025-06-03,724.09
2025-06-04,725.45
2025-06-05,726.87
2025-06-06,727.98
