displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,1414.97,,,2024,Annual
Cash Equivalents ,CashEquivalents,15.28,,,2024,Annual
Prepaid Expenses ,PrepaidExpenses,173.72,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,728.98,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-384.79,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,344.19,,,2024,Annual
Goodwill Net ,GoodwillNet,0.00,,,2024,Annual
Intangibles Net ,IntangiblesNet,76.15,,,2024,Annual
Long Term Investments ,LongTermInvestments,199562.82,,,2024,Annual
Insurance Receivables ,InsuranceReceivables,1470.90,,,2024,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,148.33,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,0.33,,,2024,Annual
Other Assets Total ,OtherAssetsTotal,99480.26,,,2024,Annual
Total Assets ,TotalAssets,302686.95,,,2024,Annual
Policy Liabilities ,PolicyLiabilities,281557.18,,,2024,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,3928.19,,,2024,Annual
Long Term Debt ,LongTermDebt,950.00,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,950.00,,,2024,Annual
Total Debt ,TotalDebt,950.00,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,1585.22,,,2024,Annual
Total Liabilities ,TotalLiabilities,288020.59,,,2024,Annual
Common Stock Total ,CommonStockTotal,2150.94,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,3791.72,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),8691.31,,,2024,Annual
Other Equity Total ,OtherEquityTotal,32.38,,,2024,Annual
Total Equity ,TotalEquity,14666.35,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,302686.95,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,215.09,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,67.83,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
