displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Total Premiums Earned ,TotalPremiumsEarned,20708.05,,,2024,Interim
Net Investment Income ,NetInvestmentIncome,2537.05,,,2024,Interim
Realized Unrealized Gains( Losses) ,RealizedUnrealizedGains(Losses),7253.88,,,2024,Interim
Total Revenue ,TotalRevenue,28215.63,,,2024,Interim
Losses Benefitsand Adjustments Total ,LossesBenefitsandAdjustmentsTotal,25751.93,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,1374.26,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),10.03,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,629.43,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,27765.65,,,2024,Interim
Operating Income ,OperatingIncome,449.98,,,2024,Interim
Other Net ,OtherNet,-0.01,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,449.97,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,38.32,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,411.64,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,411.64,,,2024,Interim
Net Income ,NetIncome,411.64,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,411.64,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,411.64,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,411.64,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,215.44,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,1.91,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,2.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,1.95,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
