displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,18779.40
Revenue - trailing 12 month,revenueTrailing12Month),972778.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,18108.20
EBITD - trailing 12 month,eBITDTrailing12Month,19728.60
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,18108.20
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,8.84
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,972778.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,19023.47
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,18779.40
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,19728.60
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,19728.60
