tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003088,Hero Motocorp,Rs.65.0000 per share(3250%)Final Dividend,2025-07-24,,Final,5,65,3250,2025-05-13,,,2025-07-24
S0003088,Hero Motocorp,Rs.100.0000 per share(5000%)Interim Dividend,2025-02-12,2025-02-12,Interim,5,100,5000,2025-02-06,,,2025-02-12
S0003088,Hero Motocorp,Rs.40.0000 per share(2000%)Final Dividend,,2024-08-01,Final,5,40,2000,2024-05-08,2024-08-02,2024-08-12,2024-08-01
S0003088,Hero Motocorp,Rs.75.0000 per share(3750%)Interim Dividend,2024-02-21,2024-02-21,Interim,5,75,3750,2024-02-09,,,2024-02-21
S0003088,Hero Motocorp,Rs.25.0000 per share(1250%)Special Dividend,2024-02-21,2024-02-21,Special,5,25,1250,2024-02-10,,,2024-02-21
S0003088,Hero Motocorp,Rs.35.0000 per share(1750%)Final Dividend,,2023-07-27,Final,5,35,1750,2023-05-04,2023-07-28,2023-08-09,2023-07-27
S0003088,Hero Motocorp,Rs.65.0000 per share(3250%)Interim Dividend,2023-02-17,2023-02-17,Interim,5,65,3250,2023-02-07,,,2023-02-17
S0003088,Hero Motocorp,Rs.35.0000 per share(1750%)Final Dividend,,2022-07-27,Final,5,35,1750,2022-05-04,2022-07-29,2022-08-09,2022-07-27
S0003088,Hero Motocorp,Rs.60.0000 per share(3000%)Interim Dividend,2022-02-22,2022-02-21,Interim,5,60,3000,2022-02-10,,,2022-02-21
S0003088,Hero Motocorp,Rs.25.0000 per share(1250%)Final Dividend,,2021-07-22,Final,5,25,1250,2021-05-06,2021-07-24,2021-08-04,2021-07-22
S0003088,Hero Motocorp,Rs.10.0000 per share(500%)Special Dividend,,2021-07-22,Special,5,10,500,2021-05-07,2021-07-24,2021-08-04,2021-07-22
S0003088,Hero Motocorp,Rs.65.0000 per share(3250%)Interim Dividend,2021-02-16,2021-02-15,Interim,5,65,3250,2021-02-05,,,2021-02-15
S0003088,Hero Motocorp,Rs.5.0000 per share (250%) Special Interim Dividend,2021-02-16,2021-02-15,Special,5,5,250,2021-02-06,,,2021-02-15
