displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,604.91,,,2024,Annual
Short Term Investments ,ShortTermInvestments,4728.61,,,2024,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,5333.52,,,2024,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,2630.22,,,2024,Annual
Total Receivables Net ,TotalReceivablesNet,2769.56,,,2024,Annual
Total Inventory ,TotalInventory,2044.84,,,2024,Annual
Prepaid Expenses ,PrepaidExpenses,75.97,,,2024,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,91.56,,,2024,Annual
Total Current Assets ,TotalCurrentAssets,10315.45,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,11789.68,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-6101.12,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,5815.71,,,2024,Annual
Intangibles Net ,IntangiblesNet,900.55,,,2024,Annual
Long Term Investments ,LongTermInvestments,8635.60,,,2024,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,476.36,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,9.12,,,2024,Annual
Total Assets ,TotalAssets,26152.79,,,2024,Annual
Accounts Payable ,AccountsPayable,5622.90,,,2024,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,363.43,,,2024,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,43.85,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1018.19,,,2024,Annual
Total Current Liabilities ,TotalCurrentLiabilities,7048.37,,,2024,Annual
Long Term Debt ,LongTermDebt,0.00,,,2024,Annual
Capital Lease Obligations ,CapitalLeaseObligations,199.13,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,199.13,,,2024,Annual
Total Debt ,TotalDebt,606.41,,,2024,Annual
Deferred Income Tax ,DeferredIncomeTax,570.13,,,2024,Annual
Minority Interest ,MinorityInterest,135.65,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,500.59,,,2024,Annual
Total Liabilities ,TotalLiabilities,8453.87,,,2024,Annual
Common Stock Total ,CommonStockTotal,39.98,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,73.36,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),17592.48,,,2024,Annual
Other Equity Total ,OtherEquityTotal,-6.90,,,2024,Annual
Total Equity ,TotalEquity,17698.92,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,26152.79,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,19.99,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,840.25,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
