displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,30959.19,,,2021,Annual
Total Revenue ,TotalRevenue,30959.19,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,21878.70,,,2021,Annual
Gross Profit ,GrossProfit,9080.49,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3961.98,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,715.12,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1014.33,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,27570.13,,,2021,Annual
Operating Income ,OperatingIncome,3389.06,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,487.82,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-3.78,,,2021,Annual
Other Net ,OtherNet,-23.78,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,3849.32,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,913.27,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,2936.05,,,2021,Annual
Minority Interest ,MinorityInterest,-18.30,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2917.75,,,2021,Annual
Net Income ,NetIncome,2917.75,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2917.75,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2917.75,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,2917.75,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,19.98,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,146.04,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,90.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,146.19,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
