displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,37788.62,,,2024,Annual
Total Revenue ,TotalRevenue,37788.62,,,2024,Annual
Costof Revenue Total ,CostofRevenueTotal,25661.60,,,2024,Annual
Gross Profit ,GrossProfit,12127.02,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,5022.83,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,757.36,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),159.99,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1761.20,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,33362.98,,,2024,Annual
Operating Income ,OperatingIncome,4425.64,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,685.15,,,2024,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,0.70,,,2024,Annual
Other Net ,OtherNet,-21.29,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,5090.20,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1348.04,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,3742.16,,,2024,Annual
Minority Interest ,MinorityInterest,2.67,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,3744.83,,,2024,Annual
Net Income ,NetIncome,3744.83,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,3744.83,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,3744.83,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,3744.83,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,20.02,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,187.03,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,115.00,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,192.88,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
