displayName,key,value
Net Interest coverage - most recent fiscal year,netInterestCoverageMostRecentFiscalYear,22.10
"Current EV/Free Cash Flow, LTM",currentEVPerFreeCashFlowLTM,
Free Cash Flow - trailing 12 month,freeCashFlowtrailing12Month,6409.30
Total debt/total equity - most recent quarter,totalDebtPerTotalEquityMostRecentQuarter,0.04
Free Cash Flow - most recent fiscal year,freeCashFlowMostRecentFiscalYear,6409.30
LT debt/equity - most recent fiscal year,ltDebtPerEquityMostRecentFiscalYear),0.01
Quick ratio - most recent fiscal year,quickRatioMostRecentFiscalYear,1.53
Quick ratio - most recent quarter,quickRatioMostRecentQuarter,1.53
Payout ratio - trailing 12 month,payoutRatioTrailing12Month,29.69
Current ratio - most recent fiscal year,currentRatioMostRecentFiscalYear,1.80
"Current EV/Free Cash Flow, LFY",currentEVPerFreeCashFlowLFY,49.91
LT debt/equity - most recent quarter,lTDebtPerEquityMostRecentQuarter,0.01
Total debt/total equity - most recent fiscal year,totalDebtPerTotalEquityMostRecentFiscalYear,0.04
Net Interest coverage - trailing 12 month,netInterestCoverageTrailing12Month,22.10
Current ratio - most recent quarter,currentRatioMostRecentQuarter,1.80
Payout ratio - most recent fiscal year,payoutRatioMostRecentFiscalYear,75.37
