displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,59335.60
Revenue - trailing 12 month,revenueTrailing12Month),409234.20
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,43784.80
EBITD - trailing 12 month,eBITDTrailing12Month,59458.40
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,43784.80
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,218.61
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,409234.20
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,43784.80
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,59335.60
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,59335.60
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,59458.40
