Date,Volume,Delivery (%)
2024-06-06,1540411,50.0
2024-06-07,657983,51.0
2024-06-10,1053340,50.0
2024-06-11,1104830,55.0
2024-06-12,682549,51.0
2024-06-13,567797,49.0
2024-06-14,616624,56.0
2024-06-18,540802,49.0
2024-06-19,461065,50.0
2024-06-20,850452,58.0
2024-06-21,693557,34.0
2024-06-24,473071,39.0
2024-06-25,1140409,67.0
2024-06-26,393200,54.0
2024-06-27,879570,
2024-06-28,557906,51.0
2024-07-01,1090121,53.0
2024-07-02,707063,36.0
2024-07-03,333871,49.0
2024-07-04,687465,66.0
2024-07-05,655855,50.0
2024-07-08,492408,60.0
2024-07-09,591809,53.0
2024-07-10,361618,38.0
2024-07-11,512350,62.0
2024-07-12,269689,40.0
2024-07-15,260832,49.0
2024-07-16,354915,44.0
2024-07-18,848879,53.0
2024-07-19,379390,56.0
2024-07-22,418991,60.0
2024-07-23,941766,35.0
2024-07-24,745128,55.0
2024-07-25,444008,46.0
2024-07-26,608127,65.0
2024-07-29,425268,57.0
2024-07-30,426484,41.0
2024-07-31,881457,59.0
2024-08-01,887765,51.0
2024-08-02,410439,37.0
2024-08-05,445410,48.0
2024-08-06,563900,60.0
2024-08-07,522285,55.0
2024-08-08,247318,43.0
2024-08-09,386779,68.0
2024-08-12,575843,50.0
2024-08-13,1070371,48.0
2024-08-14,2252535,19.0
2024-08-16,706997,25.0
2024-08-19,726646,42.0
2024-08-20,987648,23.0
2024-08-21,628985,59.0
2024-08-22,812909,49.0
2024-08-23,773303,29.0
2024-08-26,562497,54.0
2024-08-27,677260,68.0
2024-08-28,704307,53.0
2024-08-29,531008,45.0
2024-08-30,1621501,41.0
2024-09-02,1082443,30.0
2024-09-03,825303,42.0
2024-09-04,554759,42.0
2024-09-05,831273,47.0
2024-09-06,700196,56.0
2024-09-09,478978,55.0
2024-09-10,792459,43.0
2024-09-11,600319,52.0
2024-09-12,880698,40.0
2024-09-13,345626,49.0
2024-09-16,348306,33.0
2024-09-17,1314053,30.0
2024-09-18,1503452,26.0
2024-09-19,550861,37.0
2024-09-20,1008609,60.0
2024-09-23,912007,54.0
2024-09-24,648848,48.0
2024-09-25,351655,49.0
2024-09-26,1286931,39.0
2024-09-27,735838,54.0
2024-09-30,1394379,43.0
2024-10-01,763938,43.0
2024-10-03,1241889,57.0
2024-10-04,960678,50.0
2024-10-07,690501,58.0
2024-10-08,498502,44.0
2024-10-09,449614,49.0
2024-10-10,586464,60.0
2024-10-11,311392,48.0
2024-10-14,421849,47.0
2024-10-15,306995,47.0
2024-10-16,523058,53.0
2024-10-17,1992140,41.0
2024-10-18,442049,45.0
2024-10-21,756848,43.0
2024-10-22,538658,53.0
2024-10-23,424505,48.0
2024-10-24,362752,29.0
2024-10-25,737402,49.0
2024-10-28,432936,47.0
2024-10-29,973716,51.0
