Date,200 DMA
2024-06-06,2423.42
2024-06-07,2424.96
2024-06-10,2426.35
2024-06-11,2427.65
2024-06-12,2428.65
2024-06-13,2429.24
2024-06-14,2429.74
2024-06-18,2430.3
2024-06-19,2430.57
2024-06-20,2431.08
2024-06-21,2431.18
2024-06-24,2431.29
2024-06-25,2431.3
2024-06-26,2431.44
2024-06-27,2431.75
2024-06-28,2432.16
2024-07-01,2432.89
2024-07-02,2433.41
2024-07-03,2434.17
2024-07-04,2434.79
2024-07-05,2435.9
2024-07-08,2437.41
2024-07-09,2438.93
2024-07-10,2440.63
2024-07-11,2442.31
2024-07-12,2444.1
2024-07-15,2445.85
2024-07-16,2448.27
2024-07-18,2451.15
2024-07-19,2453.9
2024-07-22,2456.7
2024-07-23,2459.78
2024-07-24,2462.34
2024-07-25,2464.78
2024-07-26,2467.23
2024-07-29,2469.66
2024-07-30,2471.86
2024-07-31,2474.19
2024-08-01,2476.59
2024-08-02,2478.74
2024-08-05,2481.1
2024-08-06,2483.78
2024-08-07,2486.37
2024-08-08,2488.82
2024-08-09,2491.39
2024-08-12,2493.95
2024-08-13,2496.42
2024-08-14,2498.66
2024-08-16,2501.14
2024-08-19,2503.55
2024-08-20,2506.01
2024-08-21,2508.85
2024-08-22,2511.67
2024-08-23,2514.7
2024-08-26,2517.75
2024-08-27,2520.22
2024-08-28,2522.65
2024-08-29,2525.27
2024-08-30,2527.78
2024-09-02,2530.38
2024-09-03,2533.01
2024-09-04,2536.07
2024-09-05,2539.08
2024-09-06,2542.07
2024-09-09,2545.85
2024-09-10,2549.36
2024-09-11,2552.89
2024-09-12,2556.9
2024-09-13,2560.64
2024-09-16,2563.69
2024-09-17,2566.77
2024-09-18,2569.85
2024-09-19,2573.25
2024-09-20,2577.27
2024-09-23,2581.77
2024-09-24,2585.43
2024-09-25,2589.05
2024-09-26,2593.0
2024-09-27,2596.72
2024-09-30,2600.31
2024-10-01,2603.53
2024-10-03,2606.42
2024-10-04,2608.83
2024-10-07,2611.06
2024-10-08,2613.13
2024-10-09,2614.68
2024-10-10,2616.07
2024-10-11,2617.74
2024-10-14,2619.44
2024-10-15,2621.05
2024-10-16,2622.65
2024-10-17,2623.8
2024-10-18,2624.73
2024-10-21,2625.41
2024-10-22,2625.97
2024-10-23,2626.31
2024-10-24,2625.1
