tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003053,Hindustan Unilever,,2025-04-24,,2025-06-30,AGM
S0003053,Hindustan Unilever,,2024-04-24,,2024-06-21,AGM
S0003053,Hindustan Unilever,,2024-02-02,,2024-03-07,POM
S0003053,Hindustan Unilever,,2023-12-07,,2024-01-11,POM
S0003053,Hindustan Unilever,,2023-08-02,,2023-09-08,POM
S0003053,Hindustan Unilever,,2023-04-27,,2023-06-26,AGM
S0003053,Hindustan Unilever,,2022-04-27,,2022-06-23,AGM
S0003053,Hindustan Unilever,,2022-03-11,,2022-04-18,POM
S0003053,Hindustan Unilever,,2021-04-29,,2021-06-22,AGM
S0003053,Hindustan Unilever,,2021-03-31,,2021-04-30,POM
