displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,136.00,,,2022,Annual
Cash Equivalents ,CashEquivalents,1011.00,,,2022,Annual
Short Term Investments ,ShortTermInvestments,5995.00,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,7142.00,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,2236.00,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,3566.00,,,2022,Annual
Total Inventory ,TotalInventory,4096.00,,,2022,Annual
Prepaid Expenses ,PrepaidExpenses,428.00,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,290.00,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,15522.00,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,11477.00,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-3995,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,7482.00,,,2022,Annual
Goodwill Net ,GoodwillNet,17397.00,,,2022,Annual
Intangibles Net ,IntangiblesNet,27907.00,,,2022,Annual
Long Term Investments ,LongTermInvestments,611.00,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,1467.00,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,131.00,,,2022,Annual
Total Assets ,TotalAssets,70517.00,,,2022,Annual
Accounts Payable ,AccountsPayable,9068.00,,,2022,Annual
Accrued Expenses ,AccruedExpenses,282.00,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,302.00,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1628.00,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,11280.00,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,741.00,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,741.00,,,2022,Annual
Total Debt ,TotalDebt,1043.00,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,6141.00,,,2022,Annual
Minority Interest ,MinorityInterest,26.00,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,3268.00,,,2022,Annual
Total Liabilities ,TotalLiabilities,21456.00,,,2022,Annual
Common Stock Total ,CommonStockTotal,235.00,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,40352.00,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),8454.00,,,2022,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,0.00,,,2022,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),0.00,,,2022,Annual
Other Equity Total ,OtherEquityTotal,20.00,,,2022,Annual
Total Equity ,TotalEquity,49061.00,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,70517.00,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,234.96,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,15.99,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
