displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,11874.00,,,2022,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1106.00,,,2022,Annual
Non- Cash Items ,Non-CashItems,-148,,,2022,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-3784,,,2022,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,9048.00,,,2022,Annual
Capital Expenditures ,CapitalExpenditures,-1228,,,2022,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-500,,,2022,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-1728,,,2022,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-82,,,2022,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-7526,,,2022,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-407,,,2022,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-8015,,,2022,Annual
Net Changein Cash ,NetChangeinCash,-695,,,2022,Annual
Cash Interest Paid ,CashInterestPaid,82.00,,,2022,Annual
Cash Taxes Paid ,CashTaxesPaid,2784.00,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
